    refcode     , lab1  , dist1 , lab2 , ano2 
 CIKXUR         , Ca1   , 2.381 , O8   ,    8
 CIKXUR         , Ca1   , 2.358 , O7   ,    8
 CIKXUR         , Ca1   ,  2.41 , O9   ,    8
 CIKXUR         , Ca1   ,  2.37 , O10  ,    8
 CIKXUR         , Ca1   , 2.447 , O11  ,    8
 CIKXUR         , Ca1   ,  2.51 , O12  ,    8
 CIKXUR         , Ca1   , 2.381 , O13  ,    8
 CIKXUR         , Ca1   , 2.957 , H13  ,    1
 CIKXUR         , Ca1   , 2.909 , H10  ,    1
 CIKXUR         , Ca1   , 2.972 , H12  ,    1
 CIKXUR         , Ca1   , 2.888 , H7   ,    1
 CIKXUR         , Ca1   , 2.936 , H16  ,    1
 CIKXUR         , Ca1   , 2.881 , H14  ,    1
 COMJAR         , Ca1   , 2.259 , O2   ,    8
 COMJAR         , Ca1   ,  2.48 , O1   ,    8
 COMJAR         , Ca1   ,  2.37 , O3A  ,    8
 COMJAR         , Ca1   , 2.705 , O3C  ,    8
 COMJAR         , Ca1   ,  2.53 , O4   ,    8
 COMJAR         , Ca1   , 2.668 , O2A  ,    8
 COMJAR         , Ca1   , 2.507 , O5B  ,    8
 COMJAR         , Ca1   , 2.562 , O6C  ,    8
 COMJAR         , Ca1   , 2.899 , B1   ,    5
 COMJAR         , Ca1A  , 2.668 , O2   ,    8
 COMJAR         , Ca1A  ,  2.37 , O3   ,    8
 COMJAR         , Ca1B  , 2.705 , O3A  ,    8
 COMJAR         , Ca1B  ,  2.37 , O3C  ,    8
 COMJAR         , Ca1B  , 2.507 , O5   ,    8
 COMJAR         , Ca1C  , 2.705 , O3   ,    8
 COMJAR         , Ca1C  , 2.562 , O6   ,    8
 DIQGUH         , Ca1   , 2.287 , O1   ,    8
 DIQGUH         , Ca1   , 2.287 , O1C  ,    8
 DIQGUH         , Ca1   , 2.388 , O2*  ,    8
 DIQGUH         , Ca1   , 2.388 , O2C  ,    8
 DIQGUH         , Ca1   , 2.401 , O2D  ,    8
 DIQGUH         , Ca1   , 2.401 , O2G  ,    8
 DIQGUH         , Ca1*  , 2.388 , O2   ,    8
 DIQGUH         , Ca1D  , 2.401 , O2   ,    8
 DIQGUH         , Ca1A  , 2.401 , O2E  ,    8
 DIQGUH         , Ca1E  , 2.388 , O2E  ,    8
 DIQGUH         , Ca1E  , 2.287 , O1E  ,    8
 DISVAE         , Ca1   , 2.406 , O2   ,    8
 DISVAE         , Ca1   , 2.327 , O1A  ,    8
 DISVAE         , Ca1   , 2.332 , O4   ,    8
 DISVAE         , Ca1   , 2.332 , O4A  ,    8
 DISVAE         , Ca1   , 2.327 , O1*  ,    8
 DISVAE         , Ca1   , 2.406 , O2A  ,    8
 DISVAE         , Ca1   , 2.721 , H3   ,    1
 DISVAE         , Ca1   , 2.721 , H3A  ,    1
 DISVAE         , Ca1*  , 2.327 , O1   ,    8
 DISVAE         , Ca1*  , 2.406 , O2A  ,    8
 DOQLUS         , Ca1   , 2.665 , N2F  ,    7
 DOQLUS         , Ca1   , 2.479 , O2   ,    8
 DOQLUS         , Ca1   ,  2.37 , O1   ,    8
 DOQLUS         , Ca1   , 2.399 , O3   ,    8
 DOQLUS         , Ca1   ,  2.37 , O1A  ,    8
 DOQLUS         , Ca1   , 2.399 , O3A  ,    8
 DOQLUS         , Ca1   , 2.479 , O2A  ,    8
 DOQLUS         , Ca1   , 2.665 , N2G  ,    7
 DOQLUS         , Ca1   , 2.964 , H2   ,    1
 DOQLUS         , Ca1   , 2.882 , H3   ,    1
 DOQLUS         , Ca1   , 2.957 , H1   ,    1
 DOQLUS         , Ca1   , 2.939 , H4   ,    1
 DOQLUS         , Ca1   , 2.964 , H2A  ,    1
 DOQLUS         , Ca1   , 2.882 , H3A  ,    1
 DOQLUS         , Ca1   , 2.957 , H1A  ,    1
 DOQLUS         , Ca1   , 2.939 , H4A  ,    1
 DOQLUS         , Ca1F  , 2.665 , N2   ,    7
 DOQLUS         , Ca1F  , 2.479 , O2F  ,    8
 EDUDAK01       , Ca1   , 2.606 , N1   ,    7
 EDUDAK01       , Ca1   ,  2.44 , O1   ,    8
 EDUDAK01       , Ca1   , 2.497 , O5   ,    8
 EDUDAK01       , Ca1   , 2.384 , O6   ,    8
 EDUDAK01       , Ca1   , 2.409 , O7   ,    8
 EDUDAK01       , Ca1   , 2.558 , N2A  ,    7
 EDUDAK01       , Ca1   , 2.505 , O3A  ,    8
 EDUDAK01       , Ca1   , 2.482 , O3C  ,    8
 EDUDAK01       , Ca1   , 2.677 , H3   ,    1
 EDUDAK01       , Ca1   , 2.984 , H5   ,    1
 EDUDAK01       , Ca1   , 2.914 , H6   ,    1
 EDUDAK01       , Ca1   , 2.819 , H8   ,    1
