    refcode     , lab1  , dist1 , lab2 , ano2 
 BOMCUD         , Mg1   , 2.017 , O1   ,    8
 BOMCUD         , Mg1   , 1.991 , O1B  ,    8
 BOMCUD         , Mg1   ,  2.07 , O2   ,    8
 BOMCUD         , Mg1   , 2.115 , O3   ,    8
 BOMCUD         , Mg1   , 2.327 , Cl1  ,   17
 BOMCUD         , Mg1B  , 1.991 , O1   ,    8
 BOMCUD         , Mg1B  , 2.017 , O1B  ,    8
 BOMCUD         , Mg1B  ,  2.07 , O2B  ,    8
 BOMCUD         , Mg1B  , 2.115 , O3B  ,    8
 BOMCUD         , Mg1B  , 2.327 , Cl1B ,   17
 BOQTEI         , Mg1   , 2.044 , O5   ,    8
 BOQTEI         , Mg1   , 2.155 , O9   ,    8
 BOQTEI         , Mg1   , 2.036 , O10  ,    8
 BOQTEI         , Mg1   , 1.986 , O6A  ,    8
 BOQTEI         , Mg1   , 2.045 , O7A  ,    8
 BOQTEI         , Mg1   , 2.201 , O8*  ,    8
 BOQTEI         , Mg1A  , 1.986 , O6   ,    8
 BOQTEI         , Mg1A  , 2.045 , O7   ,    8
 BOQTEI         , Mg1*  , 2.201 , O8   ,    8
 CIKYEC         , Mg1   , 2.055 , O5   ,    8
 CIKYEC         , Mg1   , 2.089 , O6   ,    8
 CIKYEC         , Mg1   , 2.089 , O7   ,    8
 CIKYEC         , Mg1   , 2.055 , O5A  ,    8
 CIKYEC         , Mg1   , 2.089 , O6A  ,    8
 CIKYEC         , Mg1   , 2.089 , O7A  ,    8
 CIKYEC         , Mg1   , 2.596 , H6   ,    1
 CIKYEC         , Mg1   ,  2.56 , H9   ,    1
 CIKYEC         , Mg1   , 2.596 , H6A  ,    1
 CIKYEC         , Mg1   ,  2.56 , H9A  ,    1
 COGXUT         , Mg1   , 2.052 , O1   ,    8
 COGXUT         , Mg1   , 2.133 , C5   ,    6
 COGXUT         , Mg1   , 2.347 , Cl1  ,   17
 COGXUT         , Mg1   , 2.337 , Cl2  ,   17
 COKPEZ         , Mg1J  , 2.015 , O1O  ,    8
 COKPEZ         , Mg1J  , 1.988 , O3J  ,    8
 COKPEZ         , Mg1J  , 2.105 , O1J  ,    8
 COKPEZ         , Mg1J  , 1.991 , O3N  ,    8
 COKPEZ         , Mg1J  , 2.044 , O2N  ,    8
 COKPEZ         , Mg1J  , 2.939 , Mg1O ,   12
 COKPEZ         , Mg1J  , 2.939 , Mg1N ,   12
 COKPEZ         , Mg1J  , 2.269 , O5J  ,    8
 COKPEZ         , Mg1O  , 2.105 , O1O  ,    8
 COKPEZ         , Mg1O  , 1.991 , O3J  ,    8
 COKPEZ         , Mg1O  , 1.988 , O3O  ,    8
 COKPEZ         , Mg1O  , 2.939 , Mg1N ,   12
 COKPEZ         , Mg1N  , 2.015 , O1J  ,    8
 COKPEZ         , Mg1N  , 1.988 , O3N  ,    8
 COKPEZ         , Mg1N  , 2.044 , O2O  ,    8
 COKPEZ         , Mg1N  , 1.991 , O3O  ,    8
 COKPEZ         , Mg1   , 1.988 , O3   ,    8
 COKPEZ         , Mg1   , 2.939 , Mg1H ,   12
 COKPEZ         , Mg1   , 2.105 , O1   ,    8
 COKPEZ         , Mg1   , 2.015 , O1H  ,    8
 COKPEZ         , Mg1   , 1.991 , O3D  ,    8
 COKPEZ         , Mg1   , 2.044 , O2D  ,    8
