    refcode     , lab1 , dist1 , lab2  , ano2 
 BIXYUE         , K1   , 2.721 , O5    ,    8
 BIXYUE         , K1   , 2.771 , O7    ,    8
 BIXYUE         , K1   , 2.664 , O9    ,    8
 BIXYUE         , K1   , 2.681 , O10   ,    8
 BIXYUE         , K1   , 2.749 , O1C   ,    8
 BIXYUE         , K1   , 2.751 , O3C   ,    8
 BIXYUE         , K1   , 2.998 , H15   ,    1
 BIXYUE         , K1   ,  3.31 , H6    ,    1
 BIXYUE         , K1C  , 2.749 , O1    ,    8
 BIXYUE         , K1C  , 2.751 , O3    ,    8
 BIXYUE         , K1C  , 2.872 , H24   ,    1
 BIXYUE         , K1C  , 3.386 , H31   ,    1
 BIXZIT         , K1   , 2.728 , O1    ,    8
 BIXZIT         , K1   , 2.784 , O3    ,    8
 BIXZIT         , K1   ,  2.69 , O9    ,    8
 BIXZIT         , K1   , 2.676 , O10   ,    8
 BIXZIT         , K1   , 2.752 , O5C   ,    8
 BIXZIT         , K1   , 2.758 , O7C   ,    8
 BIXZIT         , K1   , 2.992 , H15   ,    1
 BIXZIT         , K1   , 3.333 , H6    ,    1
 BIXZIT         , K1C  , 2.752 , O5    ,    8
 BIXZIT         , K1C  , 2.758 , O7    ,    8
 BIXZIT         , K1C  , 2.856 , H24   ,    1
 BIXZIT         , K1C  , 3.375 , H31   ,    1
 BIYNAA         , K1   , 2.727 , O1    ,    8
 BIYNAA         , K1   , 2.785 , O3A   ,    8
 BIYNAA         , K1   , 2.668 , O5D   ,    8
 BIYNAA         , K1   , 2.668 , O5    ,    8
 BIYNAA         , K1   , 2.727 , O1D   ,    8
 BIYNAA         , K1   , 2.785 , O3E   ,    8
 BIYNAA         , K1   , 2.912 , H4    ,    1
 BIYNAA         , K1A  , 2.727 , O1A   ,    8
 BIYNAA         , K1A  , 2.785 , O3    ,    8
 BIYNAA         , K1A  , 2.912 , H4A   ,    1
 BIYNEE         , K1   , 2.724 , O1    ,    8
 BIYNEE         , K1   , 2.773 , O3    ,    8
 BIYNEE         , K1   , 2.678 , O9    ,    8
 BIYNEE         , K1   , 2.682 , O10   ,    8
 BIYNEE         , K1   , 2.755 , O5C   ,    8
 BIYNEE         , K1   , 2.757 , O7C   ,    8
 BIYNEE         , K1   , 2.987 , H6    ,    1
 BIYNEE         , K1   , 3.327 , H13   ,    1
 BIYNEE         , K1C  , 2.755 , O5    ,    8
 BIYNEE         , K1C  , 2.757 , O7    ,    8
 BIYNEE         , K1C  , 2.868 , H22   ,    1
 BIYNEE         , K1C  , 3.368 , H31   ,    1
 BIYNII         , K1   , 2.752 , O5    ,    8
 BIYNII         , K1   , 2.755 , O7    ,    8
 BIYNII         , K1   , 2.682 , O9    ,    8
 BIYNII         , K1   , 2.671 , O10   ,    8
 BIYNII         , K1   ,  2.72 , O1C   ,    8
 BIYNII         , K1   , 2.773 , O3C   ,    8
 BIYNII         , K1   , 2.861 , H4    ,    1
 BIYNII         , K1   , 3.372 , H13   ,    1
 BIYNII         , K1C  ,  2.72 , O1    ,    8
 BIYNII         , K1C  , 2.773 , O3    ,    8
 BIYNII         , K1C  ,     3 , H22   ,    1
 BIYNII         , K1C  , 3.322 , H31   ,    1
 BIZGIC         , K1   , 3.323 , C2    ,    6
 BIZGIC         , K1   , 2.981 , C1    ,    6
 BIZGIC         , K1   , 2.932 , C1A   ,    6
 BIZGIC         , K1   ,   3.2 , C8    ,    6
 BIZGIC         , K1   , 2.799 , O1    ,    8
 BIZGIC         , K1   , 2.717 , O3    ,    8
 BIZGIC         , K1   , 2.897 , O2    ,    8
 BIZGIC         , K1   , 3.038 , H6    ,    1
 BIZGIC         , K1   ,  3.27 , H25A  ,    1
 BIZGIC         , K1   ,  2.81 , H19A  ,    1
 BIZGIC         , K1   , 3.182 , H42   ,    1
 BOJPAT         , K1   , 2.769 , N5    ,    7
 BOJPAT         , K1   , 3.702 , K1D   ,   19
 BOJPAT         , K1   , 3.385 , C29   ,    6
 BOJPAT         , K1   , 2.725 , N5D   ,    7
 BOJPAT         , K1   ,  3.21 , C20   ,    6
 BOJPAT         , K1   , 3.268 , C5D   ,    6
 BOJPAT         , K1   , 2.816 , H1    ,    1
 BOJPAT         , K1   , 2.563 , H65   ,    1
 BOJPAT         , K1   , 2.827 , H1D   ,    1
 BOJPAT         , K1   , 3.007 , H67   ,    1
 BOJPAT         , K1   , 2.799 , H44   ,    1
 BOJPAT         , K1   ,  3.23 , H45   ,    1
 BOJPAT         , K1   , 3.074 , H46   ,    1
 BOJPAT         , K1   , 2.715 , H26D  ,    1
 BOJPAT         , K1   , 2.911 , H9D   ,    1
 BOJPAT         , K1   , 2.861 , H11D  ,    1
 BOJPAT         , K1   , 3.317 , H28D  ,    1
 BOJPAT         , K1   , 3.222 , H29D  ,    1
 BOJPAT         , K1   ,  3.18 , H46D  ,    1
 BOJPAT         , K1D  , 2.725 , N5    ,    7
 BOJPAT         , K1D  , 2.769 , N5D   ,    7
 BOJPAT         , K1D  , 3.268 , C5    ,    6
 BOJPAT         , K1D  , 3.385 , C29D  ,    6
 BOJPAT         , K1D  ,  3.21 , C20D  ,    6
 BOJPAT         , K1D  , 2.827 , H1    ,    1
 BOJPAT         , K1D  , 2.715 , H26   ,    1
 BOJPAT         , K1D  , 2.816 , H1D   ,    1
 BOJPAT         , K1D  , 2.911 , H9    ,    1
 BOJPAT         , K1D  , 2.861 , H11   ,    1
 BOJPAT         , K1D  , 3.317 , H28   ,    1
 BOJPAT         , K1D  , 3.222 , H29   ,    1
 BOJPAT         , K1D  ,  3.18 , H46   ,    1
 BOJPAT         , K1D  , 2.563 , H65D  ,    1
 BOJPAT         , K1D  , 2.799 , H44D  ,    1
 BOJPAT         , K1D  ,  3.23 , H45D  ,    1
 BOJPAT         , K1D  , 3.074 , H46D  ,    1
 BOJPAT         , K1D  , 3.007 , H67D  ,    1
 BOQHOG         , K1   , 3.301 , S1    ,   16
 BOQHOG         , K1   , 3.252 , S2    ,   16
 BOQHOG         , K1   , 3.047 , F1    ,    9
 BOQHOG         , K1   , 2.801 , O1    ,    8
 BOQHOG         , K1   , 3.203 , H8    ,    1
 BOQHOG         , K1   , 3.172 , H4    ,    1
 BOQWIP         , K1   , 3.676 , Zn1   ,   30
 BOQWIP         , K1   , 3.059 , O3    ,    8
 BOQWIP         , K1   , 2.684 , O7C   ,    8
 BOQWIP         , K1   , 2.862 , O2    ,    8
 BOQWIP         , K1   , 3.163 , O2B   ,    8
 BOQWIP         , K1   , 2.713 , O4B   ,    8
 BOQWIP         , K1   , 2.712 , O6*   ,    8
 BOQWIP         , K1   , 2.881 , O8C   ,    8
 BOQWIP         , K1*  , 3.497 , Zn1   ,   30
 BOQWIP         , K1*  , 2.881 , O8C   ,    8
 BOQWIP         , K1*  , 2.713 , O4B   ,    8
 BOQWIP         , K1*  , 2.712 , O6    ,    8
 BOQWIP         , K1B  , 3.163 , O2    ,    8
 BOQWIP         , K1B  , 2.862 , O2B   ,    8
 BOQWIP         , K1B  , 2.713 , O4    ,    8
 BOQWIP         , K1B  , 3.497 , Zn1B  ,   30
 BOQWIP         , K1B  , 2.712 , O6B   ,    8
 BOQWIP         , K1B  , 2.881 , O8A   ,    8
 BOQWIP         , K1B  , 3.059 , O3B   ,    8
 BOQWIP         , K1B  , 2.684 , O7A   ,    8
 BOQWIP         , K1C  , 2.712 , O6C   ,    8
 BOQWIP         , K1C  , 3.497 , Zn1C  ,   30
 BOQWIP         , K1C  , 2.713 , O4A   ,    8
 BOQWIP         , K1C  , 2.881 , O8*   ,    8
 BOQWIP         , K1B  , 3.059 , O3B   ,    8
 BOQWIP         , K1B  , 3.676 , Zn1B  ,   30
 BOQWIP         , K1C  , 2.881 , O8    ,    8
 BOQWIP         , K1C  , 3.497 , Zn1C  ,   30
 BOQWIP         , K1C  , 2.684 , O7    ,    8
 BOQWIP         , K1C  , 3.676 , Zn1C  ,   30
 BOQWIP         , K1*  , 3.163 , O2B   ,    8
 BOQWIP         , K1B  , 2.862 , O2B   ,    8
 BOQWOV         , K1   , 3.761 , Zn1   ,   30
 BOQWOV         , K1   , 2.847 , O1    ,    8
 BOQWOV         , K1   , 2.871 , O6    ,    8
 BOQWOV         , K1   , 2.908 , O7    ,    8
 BOQWOV         , K1   , 2.635 , O9    ,    8
 BOQWOV         , K1   , 2.788 , O10   ,    8
 BOSJUQ         , K1   , 2.749 , O2    ,    8
 BOSJUQ         , K1   , 3.331 , S1B   ,   16
 BOSJUQ         , K1   , 2.939 , O1C   ,    8
 BOSJUQ         , K1   , 3.285 , S1B   ,   16
 BOSJUQ         , K1   , 2.748 , O1C   ,    8
 BOSJUQ         , K1   , 2.847 , O2*   ,    8
 BOSJUQ         , K1*  , 2.847 , O2    ,    8
 BOSJUQ         , K1*  , 3.344 , C4    ,    6
 BOSJUQ         , K1*  , 3.285 , S1B   ,   16
 BOSJUQ         , K1*  , 2.748 , O1C   ,    8
 BOSJUQ         , K1*  , 3.149 , H1    ,    1
