    refcode     , lab1  , dist1 , lab2  , ano2 
 AGACIW01       , Na1   , 2.932 , O1    ,    8
 AGACIW01       , Na1   , 2.462 , O2    ,    8
 AGACIW01       , Na1   , 2.388 , O4*   ,    8
 AGACIW01       , Na1   ,  2.24 , O7*   ,    8
 AGACIW01       , Na1   , 2.314 , O8*   ,    8
 AGACIW01       , Na1   , 2.406 , O8A   ,    8
 AGACIW01       , Na1   , 3.054 , N1    ,    7
 AGACIW01       , Na1*  , 2.314 , O8    ,    8
 AGACIW01       , Na1*  , 3.248 , Na1A  ,   11
 AGACIW01       , Na1A  , 2.406 , O8    ,    8
 AGACIW01       , Na1A  , 2.883 , H4    ,    1
 AGACIW01       , Na1*  ,  2.24 , O7    ,    8
 AGACIW01       , Na1*  ,  3.13 , N2    ,    7
 AGACIW01       , Na1*  , 2.388 , O4    ,    8
 AGACIW01       , Na1*  , 3.154 , O3    ,    8
 BOJNUL         , Na1   , 2.363 , N5    ,    7
 BOJNUL         , Na1   , 3.037 , Na1B  ,   11
 BOJNUL         , Na1   , 2.362 , N5B   ,    7
 BOJNUL         , Na1   , 3.066 , C14   ,    6
 BOJNUL         , Na1   ,  3.09 , C27B  ,    6
 BOJNUL         , Na1   ,  2.68 , H1    ,    1
 BOJNUL         , Na1   , 3.032 , H34   ,    1
 BOJNUL         , Na1   , 2.689 , H1B   ,    1
 BOJNUL         , Na1   , 2.932 , H7    ,    1
 BOJNUL         , Na1   , 2.746 , H31   ,    1
 BOJNUL         , Na1   , 2.527 , H33   ,    1
 BOJNUL         , Na1   , 2.893 , H34B  ,    1
 BOJNUL         , Na1   , 2.874 , H60B  ,    1
 BOJNUL         , Na1   , 2.486 , H62B  ,    1
 BOJNUL         , Na1B  , 2.362 , N5    ,    7
 BOJNUL         , Na1B  , 2.363 , N5B   ,    7
 BOJNUL         , Na1B  ,  3.09 , C27   ,    6
 BOJNUL         , Na1B  , 3.066 , C14B  ,    6
 BOJNUL         , Na1B  , 2.689 , H1    ,    1
 BOJNUL         , Na1B  , 2.893 , H34   ,    1
 BOJNUL         , Na1B  ,  2.68 , H1B   ,    1
 BOJNUL         , Na1B  , 2.874 , H60   ,    1
 BOJNUL         , Na1B  , 2.486 , H62   ,    1
 BOJNUL         , Na1B  , 3.032 , H34B  ,    1
 BOJNUL         , Na1B  , 2.932 , H7B   ,    1
 BOJNUL         , Na1B  , 2.746 , H31B  ,    1
 BOJNUL         , Na1B  , 2.527 , H33B  ,    1
 BOLXAD         , Na5   , 2.874 , O13   ,    8
 BOLXAD         , Na5   , 2.739 , O24   ,    8
 BOLXAD         , Na5   , 2.308 , O6    ,    8
 BOLXAD         , Na5   , 2.781 , O26A  ,    8
 BOLXAD         , Na5   ,   2.3 , O14A  ,    8
 BOLXAD         , Na5   , 2.326 , O16   ,    8
 BOLXAD         , Na5   , 3.025 , O15A  ,    8
 BOLXAD         , Na5   , 3.487 , Na2   ,   11
 BOLXAD         , Na5   , 3.187 , Na4A  ,   11
 BOLXAD         , Na5   , 3.056 , O3    ,    8
 BOLXAD         , Na5   ,     3 , H13   ,    1
 BOLXAD         , Na5   ,  2.72 , H14   ,    1
 BOLXAD         , Na5   , 3.031 , H40   ,    1
 BOLXAD         , Na5   , 2.482 , H41   ,    1
 BOLXAD         , Na5   , 2.649 , H5    ,    1
 BOLXAD         , Na5   , 2.785 , H6    ,    1
 BOLXAD         , Na5   , 3.163 , H3    ,    1
 BOLXAD         , Na1   ,  2.43 , O13   ,    8
 BOLXAD         , Na1   , 3.208 , Na2   ,   11
 BOLXAD         , Na1   ,  3.19 , Na6   ,   11
 BOLXAD         , Na1   , 2.461 , O12A  ,    8
 BOLXAD         , Na1   ,  2.36 , O8    ,    8
 BOLXAD         , Na1   , 2.341 , O10   ,    8
 BOLXAD         , Na1   , 2.373 , O2    ,    8
 BOLXAD         , Na1   , 2.445 , O12   ,    8
 BOLXAD         , Na1   , 3.463 , Na1A  ,   11
 BOLXAD         , Na1   , 3.008 , H13   ,    1
 BOLXAD         , Na1   , 2.814 , H14   ,    1
 BOLXAD         , Na1   , 2.991 , H7    ,    1
 BOLXAD         , Na1   , 2.958 , H8    ,    1
 BOLXAD         , Na1   , 2.864 , H9    ,    1
 BOLXAD         , Na1   , 2.622 , H10   ,    1
 BOLXAD         , Na1   , 2.951 , H1    ,    1
 BOLXAD         , Na1   , 2.703 , H2    ,    1
 BOLXAD         , Na1   , 2.619 , H11   ,    1
 BOLXAD         , Na1   , 2.959 , H12   ,    1
 BOLXAD         , Na2   , 2.659 , O13   ,    8
 BOLXAD         , Na2   , 2.443 , O6    ,    8
 BOLXAD         , Na2   , 2.458 , O8    ,    8
 BOLXAD         , Na2   , 2.347 , O10   ,    8
 BOLXAD         , Na2   , 2.369 , O3    ,    8
 BOLXAD         , Na2   , 2.335 , O11   ,    8
 BOLXAD         , Na2   , 3.412 , Si2   ,   14
 BOLXAD         , Na2   ,     3 , H13   ,    1
 BOLXAD         , Na2   , 2.897 , H5    ,    1
 BOLXAD         , Na2   , 2.981 , H6    ,    1
 BOLXAD         , Na2   , 2.551 , H7    ,    1
 BOLXAD         , Na2   , 3.068 , H8    ,    1
 BOLXAD         , Na2   , 2.955 , H9    ,    1
 BOLXAD         , Na2   , 2.748 , H10   ,    1
 BOLXAD         , Na2   , 2.744 , H3    ,    1
 BOLXAD         , Na2   , 2.771 , H4    ,    1
 BOLXAD         , Na6   , 2.814 , O13   ,    8
 BOLXAD         , Na6   , 3.077 , O15A  ,    8
 BOLXAD         , Na6   , 2.722 , O12A  ,    8
 BOLXAD         , Na6   , 2.298 , O2    ,    8
 BOLXAD         , Na6   , 3.008 , O3*   ,    8
 BOLXAD         , Na6   ,  2.33 , O4A   ,    8
 BOLXAD         , Na6   , 2.298 , O23A  ,    8
 BOLXAD         , Na6   , 2.897 , O26A  ,    8
 BOLXAD         , Na6   , 2.874 , H13   ,    1
 BOLXAD         , Na6   , 2.551 , H14   ,    1
 BOLXAD         , Na6   , 2.812 , H1    ,    1
 BOLXAD         , Na6   , 2.826 , H2    ,    1
 BOLXAD         , Na4   ,  2.44 , O24   ,    8
 BOLXAD         , Na4   , 3.461 , Na4A  ,   11
 BOLXAD         , Na4   , 2.433 , O26   ,    8
 BOLXAD         , Na4   ,  2.46 , O24A  ,    8
 BOLXAD         , Na4   , 2.357 , O20   ,    8
 BOLXAD         , Na4   , 2.349 , O22   ,    8
 BOLXAD         , Na4   , 2.364 , O14   ,    8
 BOLXAD         , Na4   , 3.222 , Na3   ,   11
 BOLXAD         , Na4   , 3.187 , Na5A  ,   11
 BOLXAD         , Na4   , 3.034 , H40   ,    1
 BOLXAD         , Na4   , 2.624 , H41   ,    1
 BOLXAD         , Na4   , 2.965 , H42   ,    1
 BOLXAD         , Na4   , 2.797 , H43   ,    1
 BOLXAD         , Na4   , 2.912 , H34   ,    1
 BOLXAD         , Na4   , 3.003 , H35   ,    1
 BOLXAD         , Na4   , 2.867 , H36   ,    1
 BOLXAD         , Na4   , 2.682 , H37   ,    1
 BOLXAD         , Na4   , 3.043 , H30   ,    1
 BOLXAD         , Na4   , 2.547 , H31   ,    1
 BOLXAD         , Na4A  ,  2.46 , O24   ,    8
 BOLXAD         , Na4A  , 2.433 , O26A  ,    8
 BOLXAD         , Na4A  , 2.364 , O14A  ,    8
 BOLXAD         , Na4A  ,  2.44 , O24A  ,    8
 BOLXAD         , Na4A  , 2.972 , H40   ,    1
 BOLXAD         , Na4A  ,  3.07 , H41   ,    1
 BOLXAD         , Na6*  , 2.897 , O26A  ,    8
 BOLXAD         , Na6*  , 3.008 , O3    ,    8
 BOLXAD         , Na6*  , 2.543 , H4    ,    1
 BOLXAD         , Na1A  , 2.445 , O12A  ,    8
 BOLXAD         , Na1A  , 2.461 , O12   ,    8
 BOLXAD         , Na1A  ,  3.19 , Na6A  ,   11
 BOLXAD         , Na1A  , 3.155 , H11   ,    1
 BOLXAD         , Na1A  , 2.984 , H12   ,    1
 BOLXAD         , Na6A  , 2.722 , O12   ,    8
 BOLXAD         , Na6A  ,  2.33 , O4    ,    8
 BOLXAD         , Na6A  , 2.568 , H11   ,    1
 BOLXAD         , Na6A  , 3.158 , H12   ,    1
 BOLXAD         , Na3   , 2.688 , O26   ,    8
 BOLXAD         , Na3   , 2.467 , O20   ,    8
 BOLXAD         , Na3   , 2.351 , O22   ,    8
 BOLXAD         , Na3   , 3.404 , Si4   ,   14
 BOLXAD         , Na3   ,  2.45 , O23   ,    8
 BOLXAD         , Na3   , 2.342 , O25   ,    8
 BOLXAD         , Na3   , 2.362 , O15   ,    8
 BOLXAD         , Na3   , 3.022 , H42   ,    1
 BOLXAD         , Na3   , 2.689 , H34   ,    1
 BOLXAD         , Na3   , 3.004 , H35   ,    1
 BOLXAD         , Na3   , 2.946 , H36   ,    1
 BOLXAD         , Na3   , 2.799 , H37   ,    1
 BOLXAD         , Na3   , 2.926 , H38   ,    1
 BOLXAD         , Na3   , 3.007 , H39   ,    1
 BOLXAD         , Na3   , 2.828 , H32   ,    1
 BOLXAD         , Na3   , 2.816 , H33   ,    1
 BOLXAD         , Na5A  , 2.781 , O26   ,    8
 BOLXAD         , Na5A  , 2.739 , O24A  ,    8
 BOLXAD         , Na5A  ,   2.3 , O14   ,    8
 BOLXAD         , Na5A  , 2.821 , H42   ,    1
 BOLXAD         , Na5A  , 2.465 , H43   ,    1
 BOLXAD         , Na5A  , 2.747 , H30   ,    1
 BOLXAD         , Na5A  , 2.904 , H31   ,    1
 BOLXAD         , Na6A  , 2.897 , O26   ,    8
 BOLXAD         , Na6A  , 2.298 , O23   ,    8
 BOLXAD         , Na6A  , 3.077 , O15   ,    8
 BOLXAD         , Na6A  ,  3.09 , H42   ,    1
 BOLXAD         , Na6A  , 2.784 , H43   ,    1
 BOLXAD         , Na6A  ,  2.76 , H38   ,    1
 BOLXAD         , Na6A  ,  2.78 , H39   ,    1
