refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
NELGOA,0,Fe1,2,1.2368134003989659,N1B,2.389,1.7641363057191959,0.1847372386128649
NELGOA,0,Fe1,2,1.2368134003989659,N1,2.389,1.7641363057191959,0.1847372386128649
NELGOA,0,Fe1,2,1.2368134003989659,N2B,2.426,1.7641363057191959,0.16715716600155747
NELGOA,0,Fe1,2,1.2368134003989659,N2,2.426,1.7641363057191959,0.16715716600155747
NELGOA,0,Fe1,2,1.2368134003989659,N3,2.482,1.7641363057191959,0.14367921374544526
NELGOA,0,Fe1,2,1.2368134003989659,N3B,2.482,1.7641363057191959,0.14367921374544526
NELGOA,0,Fe1,2,1.2368134003989659,N4B,2.54,1.7641363057191959,0.12283308183961532
NELGOA,0,Fe1,2,1.2368134003989659,N4,2.54,1.7641363057191959,0.12283308183961532
GEVKAV,0,Fe1,2,1.4165739790382701,N2,2.134,1.7641363057191959,0.36801499065610199
GEVKAV,0,Fe1,2,1.4165739790382701,N2A,2.134,1.7641363057191959,0.36801499065610199
GEVKAV,0,Fe1,2,1.4165739790382701,N1,2.163,1.7641363057191959,0.34027199886303294
GEVKAV,0,Fe1,2,1.4165739790382701,N1A,2.163,1.7641363057191959,0.34027199886303294
MAQLIZ,0,Fe1,2,1.4622320451963513,N6,2.226,1.7641363057191959,0.2869979360209573
MAQLIZ,0,Fe1,2,1.4622320451963513,N8,2.233,1.7641363057191959,0.28161928490043991
MAQLIZ,0,Fe1,2,1.4622320451963513,N4,2.302,1.7641363057191959,0.23370733297110866
MAQLIZ,0,Fe1,2,1.4622320451963513,N3,2.314,1.7641363057191959,0.2262492316000318
MAQLIZ,0,Fe1,2,1.4622320451963513,N2,2.316,1.7641363057191959,0.22502956215421174
MAQLIZ,0,Fe1,2,1.4622320451963513,N1,2.344,1.7641363057191959,0.20862869754960181
JIRWUC,0,Fe2,2,1.4957321001392523,N3,1.923,1.7641363057191959,0.65092468422962435
JIRWUC,0,Fe2,2,1.4957321001392523,N1B,2.083,1.7641363057191959,0.42240370795481391
JIRWUC,0,Fe2,2,1.4957321001392523,N1,2.083,1.7641363057191959,0.42240370795481391
LESRUX,0,Fe1,2,1.5202201745047472,N1B,2.26,1.7641363057191959,0.26180059659090249
LESRUX,0,Fe1,2,1.5202201745047472,N1,2.26,1.7641363057191959,0.26180059659090249
LESRUX,0,Fe1,2,1.5202201745047472,N2B,2.406,1.7641363057191959,0.17644135196713906
LESRUX,0,Fe1,2,1.5202201745047472,N2,2.406,1.7641363057191959,0.17644135196713906
LESRUX,0,Fe1,2,1.5202201745047472,N4B,2.422,1.7641363057191959,0.16897407392710923
LESRUX,0,Fe1,2,1.5202201745047472,N4,2.422,1.7641363057191959,0.16897407392710923
LESRUX,0,Fe1,2,1.5202201745047472,N3B,2.459,1.7641363057191959,0.15289406476722289
LESRUX,0,Fe1,2,1.5202201745047472,N3,2.459,1.7641363057191959,0.15289406476722289
QEHBEM,0,Fe1,2,1.5302385596667538,N1,1.96,1.7641363057191959,0.58898101061420571
QEHBEM,0,Fe1,2,1.5302385596667538,N2,2.043,1.7641363057191959,0.47062877452627411
QEHBEM,0,Fe1,2,1.5302385596667538,N2B,2.043,1.7641363057191959,0.47062877452627411
MEMYIN,0,Fe1,2,1.6186961708960999,N5,2.16,1.7641363057191959,0.3430421762887334
MEMYIN,0,Fe1,2,1.6186961708960999,N8,2.196,1.7641363057191959,0.31123744364122652
MEMYIN,0,Fe1,2,1.6186961708960999,N2,2.257,1.7641363057191959,0.26393193300745843
MEMYIN,0,Fe1,2,1.6186961708960999,N4,2.272,1.7641363057191959,0.25344597902901062
MEMYIN,0,Fe1,2,1.6186961708960999,N3,2.316,1.7641363057191959,0.22502956215421174
MEMYIN,0,Fe1,2,1.6186961708960999,N1,2.321,1.7641363057191959,0.22200907677545897
TEGCAJ,0,Fe2,2,1.6414146391425706,N4,1.978,1.7641363057191959,0.56101368234913196
TEGCAJ,0,Fe2,2,1.6414146391425706,N5,1.989,1.7641363057191959,0.54458038629558159
TEGCAJ,0,Fe2,2,1.6414146391425706,N6,1.995,1.7641363057191959,0.53582057049785703
DAPNUF,0,Fe1,2,1.647596925466545,N2,1.976,1.7641363057191959,0.56405439949090652
DAPNUF,0,Fe1,2,1.647596925466545,N1,1.983,1.7641363057191959,0.55348341117678501
DAPNUF,0,Fe1,2,1.647596925466545,N4,1.999,1.7641363057191959,0.53005911479885337
IBUJAS,0,Fe1A,2,1.6537764522298424,N1A,1.903,1.7641363057191959,0.68707811972110056
IBUJAS,0,Fe1A,2,1.6537764522298424,N2A,2.017,1.7641363057191959,0.50488964923660284
IBUJAS,0,Fe1A,2,1.6537764522298424,N2,2.05,1.7641363057191959,0.46180868327213886
VENDAV,0,Fe1,2,1.6594196388405225,N1A,2.218,1.7641363057191959,0.29327086790137386
VENDAV,0,Fe1,2,1.6594196388405225,N1,2.218,1.7641363057191959,0.29327086790137386
VENDAV,0,Fe1,2,1.6594196388405225,N5,2.233,1.7641363057191959,0.28161928490043991
VENDAV,0,Fe1,2,1.6594196388405225,N5A,2.233,1.7641363057191959,0.28161928490043991
VENDAV,0,Fe1,2,1.6594196388405225,N3A,2.27,1.7641363057191959,0.2548196666184474
VENDAV,0,Fe1,2,1.6594196388405225,N3,2.27,1.7641363057191959,0.2548196666184474
TEGCAJ,0,Fe1,2,1.6681840317395824,N2,1.973,1.7641363057191959,0.56864640462079619
TEGCAJ,0,Fe1,2,1.6681840317395824,N1,1.983,1.7641363057191959,0.55348341117678501
TEGCAJ,0,Fe1,2,1.6681840317395824,N3,1.988,1.7641363057191959,0.54605421594200121
OBUJAW,0,Fe1,2,1.6786345302517638,N3B,2.219,1.7641363057191959,0.29247931408322686
OBUJAW,0,Fe1,2,1.6786345302517638,N3,2.219,1.7641363057191959,0.29247931408322686
OBUJAW,0,Fe1,2,1.6786345302517638,N1B,2.237,1.7641363057191959,0.27859114988048089
OBUJAW,0,Fe1,2,1.6786345302517638,N1,2.237,1.7641363057191959,0.27859114988048089
OBUJAW,0,Fe1,2,1.6786345302517638,N5B,2.251,1.7641363057191959,0.26824680116217409
OBUJAW,0,Fe1,2,1.6786345302517638,N5,2.251,1.7641363057191959,0.26824680116217409
WAPNEI,0,Fe1,2,1.6882016640643034,N1A,2.232,1.7641363057191959,0.28238144758851075
WAPNEI,0,Fe1,2,1.6882016640643034,N1,2.232,1.7641363057191959,0.28238144758851075
WAPNEI,0,Fe1,2,1.6882016640643034,N1B,2.233,1.7641363057191959,0.28161928490043991
WAPNEI,0,Fe1,2,1.6882016640643034,N1Q,2.234,1.7641363057191959,0.28085917933038462
WAPNEI,0,Fe1,2,1.6882016640643034,N1O,2.234,1.7641363057191959,0.28085917933038462
WAPNEI,0,Fe1,2,1.6882016640643034,N1P,2.235,1.7641363057191959,0.2801011253260729
KAHJUZ,0,Fe1,2,1.6989446730582907,N2,1.995,1.7641363057191959,0.53582057049785703
KAHJUZ,0,Fe1,2,1.6989446730582907,N1,1.996,1.7641363057191959,0.53437436200993471
KAHJUZ,0,Fe1,2,1.6989446730582907,N3,2.18,1.7641363057191959,0.32499160411166478
KAHJUZ,0,Fe1,2,1.6989446730582907,N4,2.205,1.7641363057191959,0.30375813643883415
MOBKOE,0,Fe1,2,1.7011973092969073,N5,1.992,1.7641363057191959,0.54018272211062257
MOBKOE,0,Fe1,2,1.7011973092969073,N2,2.002,1.7641363057191959,0.52577871461602954
MOBKOE,0,Fe1,2,1.7011973092969073,N1,2.186,1.7641363057191959,0.31976397076410618
MOBKOE,0,Fe1,2,1.7011973092969073,N4,2.191,1.7641363057191959,0.31547190180614881
QAGPAQ,0,Fe1,2,1.7083971754199827,N3,1.932,1.7641363057191959,0.63528239639299233
QAGPAQ,0,Fe1,2,1.7083971754199827,N1,1.992,1.7641363057191959,0.54018272211062257
QAGPAQ,0,Fe1,2,1.7083971754199827,N2,1.997,1.7641363057191959,0.5329320569163678
GEVYEL,0,Fe1,2,1.7191035764901943,N10,2.145,1.7641363057191959,0.35723504092604769
GEVYEL,0,Fe1,2,1.7191035764901943,N5,2.166,1.7641363057191959,0.33752419152328728
GEVYEL,0,Fe1,2,1.7191035764901943,N13,2.207,1.7641363057191959,0.30212063024571417
GEVYEL,0,Fe1,2,1.7191035764901943,N18,2.228,1.7641363057191959,0.28545078109316918
GEVYEL,0,Fe1,2,1.7191035764901943,N16,2.302,1.7641363057191959,0.23370733297110866
GEVYEL,0,Fe1,2,1.7191035764901943,N11,2.354,1.7641363057191959,0.20306559973086713
QOSGOV,0,Fe1,2,1.7222478487490163,N4,2.064,1.7641363057191959,0.44466129699314655
QOSGOV,0,Fe1,2,1.7222478487490163,N3,2.077,1.7641363057191959,0.42930933808118654
QOSGOV,0,Fe1,2,1.7222478487490163,N2,2.078,1.7641363057191959,0.42815060912813346
QOSGOV,0,Fe1,2,1.7222478487490163,N1,2.085,1.7641363057191959,0.42012660454654971
ASEQUL,0,Fe1,2,1.7254769792393085,N11,2.245,1.7641363057191959,0.27263221056205234
ASEQUL,0,Fe1,2,1.7254769792393085,N7,2.251,1.7641363057191959,0.26824680116217409
ASEQUL,0,Fe1,2,1.7254769792393085,N5,2.257,1.7641363057191959,0.26393193300745843
ASEQUL,0,Fe1,2,1.7254769792393085,N1,2.259,1.7641363057191959,0.26250912280744626
ASEQUL,0,Fe1,2,1.7254769792393085,N10,2.4,1.7641363057191959,0.17932588799922458
ASEQUL,0,Fe1,2,1.7254769792393085,N3,2.425,1.7641363057191959,0.16760955318454154
ASEQUL,0,Fe1,2,1.7254769792393085,N9,2.449,1.7641363057191959,0.15708268479607715
ASEQUL,0,Fe1,2,1.7254769792393085,N4,2.456,1.7641363057191959,0.15413878572033399
RAVYIX,0,Fe1,2,1.7268872286634545,N1,2.019,1.7641363057191959,0.50216787876105284
RAVYIX,0,Fe1,2,1.7268872286634545,N2,2.162,1.7641363057191959,0.34119289681013326
RAVYIX,0,Fe1,2,1.7268872286634545,N4,2.166,1.7641363057191959,0.33752419152328728
RAVYIX,0,Fe1,2,1.7268872286634545,N3,2.244,1.7641363057191959,0.27337005100692857
RAVYIX,0,Fe1,2,1.7268872286634545,N5,2.245,1.7641363057191959,0.27263221056205234
MONYUJ,0,Fe1,2,1.7310160996940898,N2,1.915,1.7641363057191959,0.66515198586135427
MONYUJ,0,Fe1,2,1.7310160996940898,N1,1.997,1.7641363057191959,0.5329320569163678
MONYUJ,0,Fe1,2,1.7310160996940898,N1F,1.997,1.7641363057191959,0.5329320569163678
GALNIS03,0,Fe3,2,1.7318895141960107,N1,2.09,1.7641363057191959,0.41448740650470239
GALNIS03,0,Fe3,2,1.7318895141960107,N3,2.096,1.7641363057191959,0.40782019368758998
GALNIS03,0,Fe3,2,1.7318895141960107,N6,2.127,1.7641363057191959,0.3750437147101362
GALNIS03,0,Fe3,2,1.7318895141960107,N8,2.242,1.7641363057191959,0.27485172788272949
GALNIS03,0,Fe3,2,1.7318895141960107,N7,2.263,1.7641363057191959,0.2596864714108526
VAXWOH,0,Fe1,2,1.7346477449977478,N6,2.231,1.7641363057191959,0.28314567296189586
