    PETDAT,       Fe1, 3,        O3, 1.965, 0.582
    PETDAT,       Fe1, 3,        N1, 2.060, 0.516
    PETDAT,       Fe1, 3,        O5, 1.978, 0.562
    PETDAT,       Fe1, 3,        N3, 2.205, 0.349
    PETDAT,       Fe1, 3,        N4, 2.200, 0.353
    PETDAT,       Fe1, 3,        N2, 2.067, 0.506
    QEHJIW,       Fe6, 3,       O17, 2.226, 0.288
    QEHJIW,       Fe6, 3,       O12, 1.948, 0.610
    QEHJIW,       Fe6, 3,       O10, 2.062, 0.448
    QEHJIW,       Fe6, 3,       Cl6, 2.287, 0.587
    QEHJIW,       Fe6, 3,        O3, 2.062, 0.448
    QEHJIW,       Fe6, 3,        O2, 1.946, 0.613
    QEHJIW,       Fe4, 3,       O17, 2.345, 0.209
    QEHJIW,       Fe4, 3,       O16, 1.993, 0.540
    QEHJIW,       Fe4, 3,       O14, 1.981, 0.558
    QEHJIW,       Fe4, 3,       Cl4, 2.260, 0.632
    QEHJIW,       Fe4, 3,        O4, 1.985, 0.552
    QEHJIW,       Fe4, 3,        O2, 2.005, 0.523
    QEHJIW,       Fe5, 3,       O17, 2.225, 0.288
    QEHJIW,       Fe5, 3,        O8, 1.954, 0.600
    QEHJIW,       Fe5, 3,        O7, 2.078, 0.429
    QEHJIW,       Fe5, 3,       Cl5, 2.254, 0.642
    QEHJIW,       Fe5, 3,        O4, 1.946, 0.613
    QEHJIW,       Fe5, 3,        O3, 2.058, 0.453
    QEHJIW,       Fe2, 3,       O17, 2.246, 0.273
    QEHJIW,       Fe2, 3,       O11, 1.955, 0.598
    QEHJIW,       Fe2, 3,       O10, 2.071, 0.437
    QEHJIW,       Fe2, 3,        O7, 2.074, 0.434
    QEHJIW,       Fe2, 3,        O6, 1.953, 0.602
    QEHJIW,       Fe2, 3,       Cl2, 2.271, 0.613
    QEHJIW,       Fe3, 3,       O17, 2.284, 0.246
    QEHJIW,       Fe3, 3,       O15, 2.009, 0.517
    QEHJIW,       Fe3, 3,       O14, 1.983, 0.555
    QEHJIW,       Fe3, 3,       O12, 1.996, 0.536
    QEHJIW,       Fe3, 3,       O11, 2.003, 0.526
    QEHJIW,       Fe3, 3,       Cl3, 2.247, 0.654
    SEFXUX,       Fe1, 3,       N2E, 2.087, 0.479
    SEFXUX,       Fe1, 3,       N1E, 2.200, 0.353
    SEFXUX,       Fe1, 3,        N1, 2.200, 0.353
    SEFXUX,       Fe1, 3,        N2, 2.087, 0.479
    SEFXUX,       Fe1, 3,       Cl1, 2.298, 0.570
    SEFXUX,       Fe1, 3,       Cl2, 2.300, 0.567
    QEHJIW,       Fe1, 3,       O17, 2.258, 0.264
    QEHJIW,       Fe1, 3,       O16, 1.985, 0.552
    QEHJIW,       Fe1, 3,       O15, 1.999, 0.531
    QEHJIW,       Fe1, 3,        O8, 1.999, 0.531
    QEHJIW,       Fe1, 3,        O6, 2.000, 0.530
