refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
CESTOJ,0,Fe1,2,1.4441538415380559,N3,1.811,1.5592734116325244,0.50644369277500223
CESTOJ,0,Fe1,2,1.4441538415380559,N1B,2.095,1.5592734116325244,0.23506112358641873
CESTOJ,0,Fe1,2,1.4441538415380559,N1,2.095,1.5592734116325244,0.23506112358641873
CESTOJ,0,Fe1,2,1.4441538415380559,N2,2.097,1.5592734116325244,0.23379395079510817
CESTOJ,0,Fe1,2,1.4441538415380559,N2B,2.097,1.5592734116325244,0.23379395079510817
EBOTOG01,0,Fe1,2,1.449912372789842,N5,2.022,1.5592734116325244,0.28632939475173758
EBOTOG01,0,Fe1,2,1.449912372789842,N6,2.043,1.5592734116325244,0.27053084496528623
EBOTOG01,0,Fe1,2,1.449912372789842,N3,2.09,1.5592734116325244,0.23825918511263317
EBOTOG01,0,Fe1,2,1.449912372789842,N1,2.102,1.5592734116325244,0.23065582439403792
EBOTOG01,0,Fe1,2,1.449912372789842,N2,2.116,1.5592734116325244,0.22209135893106771
EBOTOG01,0,Fe1,2,1.449912372789842,N4,2.151,1.5592734116325244,0.20204576463507964
NASWEL,0,Fe1,2,1.4655784205010707,N2A,2.046,1.5592734116325244,0.26834622018303284
NASWEL,0,Fe1,2,1.4655784205010707,N2,2.046,1.5592734116325244,0.26834622018303284
NASWEL,0,Fe1,2,1.4655784205010707,N7A,2.098,1.5592734116325244,0.2331629283695402
NASWEL,0,Fe1,2,1.4655784205010707,N7,2.098,1.5592734116325244,0.2331629283695402
NASWEL,0,Fe1,2,1.4655784205010707,N8,2.101,1.5592734116325244,0.23128006169796225
NASWEL,0,Fe1,2,1.4655784205010707,N8A,2.101,1.5592734116325244,0.23128006169796225
OFONON,0,Fe3,2,1.4702483226134633,N11,2.071,1.5592734116325244,0.25081370328322683
OFONON,0,Fe3,2,1.4702483226134633,N11B,2.071,1.5592734116325244,0.25081370328322683
OFONON,0,Fe3,2,1.4702483226134633,N12,2.083,1.5592734116325244,0.24280970101012431
OFONON,0,Fe3,2,1.4702483226134633,N12B,2.083,1.5592734116325244,0.24280970101012431
OFONON,0,Fe3,2,1.4702483226134633,N13,2.085,1.5592734116325244,0.2415007570133805
OFONON,0,Fe3,2,1.4702483226134633,N13B,2.085,1.5592734116325244,0.2415007570133805
PAFMUF10,0,Fe1,2,1.470682678523882,N2,1.926,1.5592734116325244,0.3711485316907715
PAFMUF10,0,Fe1,2,1.470682678523882,N2B,1.926,1.5592734116325244,0.3711485316907715
PAFMUF10,0,Fe1,2,1.470682678523882,N1B,1.933,1.5592734116325244,0.36419280757116951
PAFMUF10,0,Fe1,2,1.470682678523882,N1,1.933,1.5592734116325244,0.36419280757116951
DOJKET,0,Fe3,2,1.4763688387824989,N13,2.059,1.5592734116325244,0.25908155025496099
DOJKET,0,Fe3,2,1.4763688387824989,N13B,2.059,1.5592734116325244,0.25908155025496099
DOJKET,0,Fe3,2,1.4763688387824989,N11,2.087,1.5592734116325244,0.24019886930137085
DOJKET,0,Fe3,2,1.4763688387824989,N11B,2.087,1.5592734116325244,0.24019886930137085
DOJKET,0,Fe3,2,1.4763688387824989,N12,2.089,1.5592734116325244,0.23890399983491756
DOJKET,0,Fe3,2,1.4763688387824989,N12B,2.089,1.5592734116325244,0.23890399983491756
FEPHCY,0,Fe1,2,1.4825906271351694,N4B,1.926,1.5592734116325244,0.3711485316907715
FEPHCY,0,Fe1,2,1.4825906271351694,N4,1.926,1.5592734116325244,0.3711485316907715
FEPHCY,0,Fe1,2,1.4825906271351694,N2B,1.927,1.5592734116325244,0.37014678187681327
FEPHCY,0,Fe1,2,1.4825906271351694,N2,1.927,1.5592734116325244,0.37014678187681327
DOJKET,0,Fe2,2,1.4973731825774603,N5,2.06,1.5592734116325244,0.2583822752407624
DOJKET,0,Fe2,2,1.4973731825774603,N8,2.061,1.5592734116325244,0.25768488760737113
DOJKET,0,Fe2,2,1.4973731825774603,N6,2.068,1.5592734116325244,0.25285559465604979
DOJKET,0,Fe2,2,1.4973731825774603,N10,2.079,1.5592734116325244,0.2454489110465162
DOJKET,0,Fe2,2,1.4973731825774603,N9,2.085,1.5592734116325244,0.2415007570133805
DOJKET,0,Fe2,2,1.4973731825774603,N7,2.085,1.5592734116325244,0.2415007570133805
JIVMEG,0,Fe1,2,1.4991002396450139,N2,1.992,1.5592734116325244,0.31051243816388596
JIVMEG,0,Fe1,2,1.4991002396450139,N2A,1.992,1.5592734116325244,0.31051243816388596
JIVMEG,0,Fe1,2,1.4991002396450139,N1,2.007,1.5592734116325244,0.2981758516083281
JIVMEG,0,Fe1,2,1.4991002396450139,N1A,2.007,1.5592734116325244,0.2981758516083281
JIVMEG,0,Fe1,2,1.4991002396450139,N3,2.028,1.5592734116325244,0.28172366010058564
HTMZFE,0,Fe1,2,1.5181025936669161,N1,1.916,1.5592734116325244,0.38131635721026841
HTMZFE,0,Fe1,2,1.5181025936669161,N2,1.916,1.5592734116325244,0.38131635721026841
HTMZFE,0,Fe1,2,1.5181025936669161,N3,1.917,1.5592734116325244,0.38028716388932365
HTMZFE,0,Fe1,2,1.5181025936669161,N4,1.922,1.5592734116325244,0.37518271535705577
JIVTOX,0,Fe1,2,1.5240277095128352,N4A,1.987,1.5592734116325244,0.31473703245983636
JIVTOX,0,Fe1,2,1.5240277095128352,N4,1.987,1.5592734116325244,0.31473703245983636
JIVTOX,0,Fe1,2,1.5240277095128352,N3,2.005,1.5592734116325244,0.29979197693962528
JIVTOX,0,Fe1,2,1.5240277095128352,N3A,2.005,1.5592734116325244,0.29979197693962528
JIVTOX,0,Fe1,2,1.5240277095128352,N1,2.011,1.5592734116325244,0.29496969071391177
XOYGAU,0,Fe1,2,1.5863462904954395,N1,1.896,1.5592734116325244,0.40249529949997725
XOYGAU,0,Fe1,2,1.5863462904954395,N2,1.898,1.5592734116325244,0.40032551878773059
XOYGAU,0,Fe1,2,1.5863462904954395,N3,1.906,1.5592734116325244,0.39176273610386592
XOYGAU,0,Fe1,2,1.5863462904954395,N4,1.906,1.5592734116325244,0.39176273610386592
FASNES,0,Fe1,2,1.6062395501538145,N4,1.738,1.5592734116325244,0.61690216491622119
FASNES,0,Fe1,2,1.6062395501538145,N8,2.031,1.5592734116325244,0.27944864968659033
FASNES,0,Fe1,2,1.6062395501538145,N5,2.075,1.5592734116325244,0.24811680786760915
FASNES,0,Fe1,2,1.6062395501538145,N3,2.236,1.5592734116325244,0.16057554217705963
FASNES,0,Fe1,2,1.6062395501538145,N2,2.246,1.5592734116325244,0.15629378487847459
FASNES,0,Fe1,2,1.6062395501538145,N1,2.274,1.5592734116325244,0.14490260062785937
SAKLOG,0,Fe1,2,1.6094613564324147,N3E,1.979,1.5592734116325244,0.32161625951016898
SAKLOG,0,Fe1,2,1.6094613564324147,N3,1.979,1.5592734116325244,0.32161625951016898
SAKLOG,0,Fe1,2,1.6094613564324147,N1E,2.077,1.5592734116325244,0.24677925419986668
SAKLOG,0,Fe1,2,1.6094613564324147,N1,2.077,1.5592734116325244,0.24677925419986668
SAKLOG,0,Fe1,2,1.6094613564324147,N5E,2.093,1.5592734116325244,0.23633516450617167
SAKLOG,0,Fe1,2,1.6094613564324147,N5,2.093,1.5592734116325244,0.23633516450617167
TOBNON,0,Fe1,2,1.6392070490564403,N6,1.976,1.5592734116325244,0.32423455929625294
TOBNON,0,Fe1,2,1.6392070490564403,N4,1.999,1.5592734116325244,0.30469309989051663
TOBNON,0,Fe1,2,1.6392070490564403,N1,2.002,1.5592734116325244,0.3022326037608134
TOBNON,0,Fe1,2,1.6392070490564403,N5,2.083,1.5592734116325244,0.24280970101012431
TOBNON,0,Fe1,2,1.6392070490564403,N3,2.089,1.5592734116325244,0.23890399983491756
TOBNON,0,Fe1,2,1.6392070490564403,N2,2.109,1.5592734116325244,0.22633308526381554
QOVCUA,0,Fe1,2,1.6574638252185523,N9,2.018,1.5592734116325244,0.28944164030535036
QOVCUA,0,Fe1,2,1.6574638252185523,N4,2.029,1.5592734116325244,0.28096327281626121
QOVCUA,0,Fe1,2,1.6574638252185523,N1,2.03,1.5592734116325244,0.28020493785804235
QOVCUA,0,Fe1,2,1.6574638252185523,N12,2.036,1.5592734116325244,0.27569771779830782
QOVCUA,0,Fe1,2,1.6574638252185523,N8,2.039,1.5592734116325244,0.27347136883321937
QOVCUA,0,Fe1,2,1.6574638252185523,N5,2.061,1.5592734116325244,0.25768488760737113
PEKWUY,0,Fe1,2,1.7007496805068043,N4,1.716,1.5592734116325244,0.6546952793478048
PEKWUY,0,Fe1,2,1.7007496805068043,N2,1.872,1.5592734116325244,0.42946845093491881
PEKWUY,0,Fe1,2,1.7007496805068043,N3,1.979,1.5592734116325244,0.32161625951016898
PEKWUY,0,Fe1,2,1.7007496805068043,N1,2.011,1.5592734116325244,0.29496969071391177
NAVYEP01,0,Fe1,2,1.7208264233843087,N9,1.994,1.5592734116325244,0.30883852072912915
NAVYEP01,0,Fe1,2,1.7208264233843087,N8,1.997,1.5592734116325244,0.30634454897449975
NAVYEP01,0,Fe1,2,1.7208264233843087,N2,2.02,1.5592734116325244,0.28788131180154958
NAVYEP01,0,Fe1,2,1.7208264233843087,N5,2.025,1.5592734116325244,0.28401719152869054
NAVYEP01,0,Fe1,2,1.7208264233843087,N6,2.03,1.5592734116325244,0.28020493785804235
NAVYEP01,0,Fe1,2,1.7208264233843087,N3,2.067,1.5592734116325244,0.25353991249239732
PEKXAF,0,Fe1,2,1.7346456382629643,N4,1.705,1.5592734116325244,0.67445141016178634
PEKXAF,0,Fe1,2,1.7346456382629643,N2,1.84,1.5592734116325244,0.46826518491786423
PEKXAF,0,Fe1,2,1.7346456382629643,N3,1.987,1.5592734116325244,0.31473703245983636
PEKXAF,0,Fe1,2,1.7346456382629643,N1,2.034,1.5592734116325244,0.27719201072347716
JIQDET04,0,Fe1,2,1.7556944243521744,N5,2.008,1.5592734116325244,0.29737105897580796
JIQDET04,0,Fe1,2,1.7556944243521744,N9,2.011,1.5592734116325244,0.29496969071391177
JIQDET04,0,Fe1,2,1.7556944243521744,N6,2.011,1.5592734116325244,0.29496969071391177
JIQDET04,0,Fe1,2,1.7556944243521744,N3,2.014,1.5592734116325244,0.29258771428371982
JIQDET04,0,Fe1,2,1.7556944243521744,N2,2.016,1.5592734116325244,0.29101042585356446
JIQDET04,0,Fe1,2,1.7556944243521744,N8,2.024,1.5592734116325244,0.28478584381125838
FUXTUN,0,Fe1,2,1.7604735041839958,N1A,2.001,1.5592734116325244,0.303050553475395
FUXTUN,0,Fe1,2,1.7604735041839958,N1,2.001,1.5592734116325244,0.303050553475395
FUXTUN,0,Fe1,2,1.7604735041839958,N2A,2.002,1.5592734116325244,0.3022326037608134
FUXTUN,0,Fe1,2,1.7604735041839958,N2,2.002,1.5592734116325244,0.3022326037608134
FUXTUN,0,Fe1,2,1.7604735041839958,N3A,2.037,1.5592734116325244,0.27495359485578952
FUXTUN,0,Fe1,2,1.7604735041839958,N3,2.037,1.5592734116325244,0.27495359485578952
AVINUO,0,Fe1,2,1.7610834772976152,N6,1.959,1.5592734116325244,0.33947935945539859
AVINUO,0,Fe1,2,1.7610834772976152,N2,1.981,1.5592734116325244,0.31988248334558522
AVINUO,0,Fe1,2,1.7610834772976152,N1,1.99,1.5592734116325244,0.31219542829971575
AVINUO,0,Fe1,2,1.7610834772976152,N3,2.004,1.5592734116325244,0.30060332144356139
AVINUO,0,Fe1,2,1.7610834772976152,N5,2.078,1.5592734116325244,0.24611318374322971
AVINUO,0,Fe1,2,1.7610834772976152,N4,2.083,1.5592734116325244,0.24280970101012431
DOQRAC01,0,Fe1,2,1.7629604693452225,N4,1.96,1.5592734116325244,0.33856308643761829
DOQRAC01,0,Fe1,2,1.7629604693452225,N5,1.971,1.5592734116325244,0.32864584625742116
DOQRAC01,0,Fe1,2,1.7629604693452225,N6,1.996,1.5592734116325244,0.30717362708612433
DOQRAC01,0,Fe1,2,1.7629604693452225,N1,2.049,1.5592734116325244,0.26617923695821349
DOQRAC01,0,Fe1,2,1.7629604693452225,N3,2.053,1.5592734116325244,0.26331712235088434
DOQRAC01,0,Fe1,2,1.7629604693452225,N2,2.059,1.5592734116325244,0.25908155025496099
UJUFUB,0,Fe1,2,1.7701915938242454,N2,1.983,1.5592734116325244,0.31815805366054023
UJUFUB,0,Fe1,2,1.7701915938242454,N4,1.99,1.5592734116325244,0.31219542829971575
UJUFUB,0,Fe1,2,1.7701915938242454,N3,2.0,1.5592734116325244,0.30387071685497247
UJUFUB,0,Fe1,2,1.7701915938242454,N1,2.012,1.5592734116325244,0.29417355168178416
UJUFUB,0,Fe1,2,1.7701915938242454,N12,2.042,1.5592734116325244,0.27126299836194656
UJUFUB,0,Fe1,2,1.7701915938242454,N8,2.043,1.5592734116325244,0.27053084496528623
LIZFIK01,0,Fe3,2,1.7754307493284993,N25,1.973,1.5592734116325244,0.32687417483851217
LIZFIK01,0,Fe3,2,1.7754307493284993,N17,1.976,1.5592734116325244,0.32423455929625294
LIZFIK01,0,Fe3,2,1.7754307493284993,N27,2.002,1.5592734116325244,0.3022326037608134
LIZFIK01,0,Fe3,2,1.7754307493284993,N23,2.027,1.5592734116325244,0.28248610526534523
LIZFIK01,0,Fe3,2,1.7754307493284993,N19,2.043,1.5592734116325244,0.27053084496528623
LIZFIK01,0,Fe3,2,1.7754307493284993,N21,2.045,1.5592734116325244,0.26907246120228923
NIQFUP,0,Fe1,2,1.7788347993270219,N5,1.939,1.5592734116325244,0.3583346055692927
NIQFUP,0,Fe1,2,1.7788347993270219,N4,1.954,1.5592734116325244,0.3440980554858335
NIQFUP,0,Fe1,2,1.7788347993270219,N1,1.957,1.5592734116325244,0.34131935149133658
NIQFUP,0,Fe1,2,1.7788347993270219,N2,2.073,1.5592734116325244,0.24946161113102755
NIQFUP,0,Fe1,2,1.7788347993270219,N3,2.082,1.5592734116325244,0.24346683105886033
NIQFUP,0,Fe1,2,1.7788347993270219,N6,2.084,1.5592734116325244,0.24215434459067134
OPUPAR,0,Fe2,2,1.7789432344275609,N7,1.905,1.5592734116325244,0.3928229864348774
OPUPAR,0,Fe2,2,1.7789432344275609,N9,1.908,1.5592734116325244,0.38965081273573932
OPUPAR,0,Fe2,2,1.7789432344275609,N6,1.955,1.5592734116325244,0.34316931635948955
OPUPAR,0,Fe2,2,1.7789432344275609,N8,1.96,1.5592734116325244,0.33856308643761829
OPUPAR,0,Fe2,2,1.7789432344275609,N10,1.987,1.5592734116325244,0.31473703245983636
NOKFID01,0,Fe1,2,1.7804246893580109,N1,1.961,1.5592734116325244,0.33764928648990739
NOKFID01,0,Fe1,2,1.7804246893580109,N5,1.961,1.5592734116325244,0.33764928648990739
NOKFID01,0,Fe1,2,1.7804246893580109,N3,1.988,1.5592734116325244,0.31388754031102994
NOKFID01,0,Fe1,2,1.7804246893580109,N2,2.033,1.5592734116325244,0.27794219162134948
NOKFID01,0,Fe1,2,1.7804246893580109,N4,2.06,1.5592734116325244,0.2583822752407624
NOKFID01,0,Fe1,2,1.7804246893580109,N6,2.065,1.5592734116325244,0.2549141092050542
ETEXAD,0,Fe2,2,1.781240542946108,N6A,2.004,1.5592734116325244,0.30060332144356139
ETEXAD,0,Fe2,2,1.781240542946108,N6,2.004,1.5592734116325244,0.30060332144356139
ETEXAD,0,Fe2,2,1.781240542946108,N1A,2.005,1.5592734116325244,0.29979197693962528
ETEXAD,0,Fe2,2,1.781240542946108,N1,2.005,1.5592734116325244,0.29979197693962528
ETEXAD,0,Fe2,2,1.781240542946108,N10,2.017,1.5592734116325244,0.29022497308986733
ETEXAD,0,Fe2,2,1.781240542946108,N10A,2.017,1.5592734116325244,0.29022497308986733
WUPKUN,0,Fe1,2,1.7878987390665422,N1,1.988,1.5592734116325244,0.31388754031102994
WUPKUN,0,Fe1,2,1.7878987390665422,N6,1.992,1.5592734116325244,0.31051243816388596
WUPKUN,0,Fe1,2,1.7878987390665422,N3,1.997,1.5592734116325244,0.30634454897449975
WUPKUN,0,Fe1,2,1.7878987390665422,N5,1.999,1.5592734116325244,0.30469309989051663
WUPKUN,0,Fe1,2,1.7878987390665422,N2,2.013,1.5592734116325244,0.29337956147164879
WUPKUN,0,Fe1,2,1.7878987390665422,N4,2.059,1.5592734116325244,0.25908155025496099
UYIBOU,0,Fe1,2,1.7890551096499687,N1B,2.007,1.5592734116325244,0.2981758516083281
UYIBOU,0,Fe1,2,1.7890551096499687,N1A,2.007,1.5592734116325244,0.2981758516083281
UYIBOU,0,Fe1,2,1.7890551096499687,N1K,2.007,1.5592734116325244,0.2981758516083281
UYIBOU,0,Fe1,2,1.7890551096499687,N1J,2.007,1.5592734116325244,0.2981758516083281
UYIBOU,0,Fe1,2,1.7890551096499687,N1,2.007,1.5592734116325244,0.2981758516083281
UYIBOU,0,Fe1,2,1.7890551096499687,N1I,2.007,1.5592734116325244,0.2981758516083281
RANCUG,0,Fe1,2,1.789444132005749,N3,1.977,1.5592734116325244,0.32335943281259361
RANCUG,0,Fe1,2,1.789444132005749,N5,2.0,1.5592734116325244,0.30387071685497247
RANCUG,0,Fe1,2,1.789444132005749,N6,2.001,1.5592734116325244,0.303050553475395
RANCUG,0,Fe1,2,1.789444132005749,N9,2.014,1.5592734116325244,0.29258771428371982
RANCUG,0,Fe1,2,1.789444132005749,N2,2.02,1.5592734116325244,0.28788131180154958
RANCUG,0,Fe1,2,1.789444132005749,N8,2.032,1.5592734116325244,0.27869440277751839
OPUPAR,0,Fe1,2,1.7916463985007942,N2,1.899,1.5592734116325244,0.39924501871908841
OPUPAR,0,Fe1,2,1.7916463985007942,N4,1.9,1.5592734116325244,0.39816743497814366
OPUPAR,0,Fe1,2,1.7916463985007942,N1,1.96,1.5592734116325244,0.33856308643761829
OPUPAR,0,Fe1,2,1.7916463985007942,N3,1.964,1.5592734116325244,0.33492265840773527
OPUPAR,0,Fe1,2,1.7916463985007942,N5,1.98,1.5592734116325244,0.3207481999582088
GEPPEX,0,Fe1,2,1.7927643172538863,N4,1.833,1.5592734116325244,0.47720858899776641
GEPPEX,0,Fe1,2,1.7927643172538863,N3,1.841,1.5592734116325244,0.46700131204266365
GEPPEX,0,Fe1,2,1.7927643172538863,N2,1.876,1.5592734116325244,0.42485055533624466
GEPPEX,0,Fe1,2,1.7927643172538863,N1,1.877,1.5592734116325244,0.42370386087721146
WIZPAW,0,Fe1,2,1.8085011704185605,N2C,2.003,1.5592734116325244,0.30141686173642673
WIZPAW,0,Fe1,2,1.8085011704185605,N2B,2.003,1.5592734116325244,0.30141686173642673
WIZPAW,0,Fe1,2,1.8085011704185605,N2A,2.003,1.5592734116325244,0.30141686173642673
WIZPAW,0,Fe1,2,1.8085011704185605,N2E,2.003,1.5592734116325244,0.30141686173642673
WIZPAW,0,Fe1,2,1.8085011704185605,N2D,2.003,1.5592734116325244,0.30141686173642673
WIZPAW,0,Fe1,2,1.8085011704185605,N2,2.003,1.5592734116325244,0.30141686173642673
LIZFIK01,0,Fe2,2,1.8087482661950856,N12,1.972,1.5592734116325244,0.3277588134734124
LIZFIK01,0,Fe2,2,1.8087482661950856,N2,1.98,1.5592734116325244,0.3207481999582088
LIZFIK01,0,Fe2,2,1.8087482661950856,N8,2.005,1.5592734116325244,0.29979197693962528
LIZFIK01,0,Fe2,2,1.8087482661950856,N10,2.007,1.5592734116325244,0.2981758516083281
LIZFIK01,0,Fe2,2,1.8087482661950856,N4,2.016,1.5592734116325244,0.29101042585356446
LIZFIK01,0,Fe2,2,1.8087482661950856,N6,2.042,1.5592734116325244,0.27126299836194656
JEGZAW,0,Fe1,2,1.8150580501897826,N2E,1.999,1.5592734116325244,0.30469309989051663
JEGZAW,0,Fe1,2,1.8150580501897826,N2,1.999,1.5592734116325244,0.30469309989051663
JEGZAW,0,Fe1,2,1.8150580501897826,N1E,2.002,1.5592734116325244,0.3022326037608134
JEGZAW,0,Fe1,2,1.8150580501897826,N1,2.002,1.5592734116325244,0.3022326037608134
JEGZAW,0,Fe1,2,1.8150580501897826,N3E,2.004,1.5592734116325244,0.30060332144356139
JEGZAW,0,Fe1,2,1.8150580501897826,N3,2.004,1.5592734116325244,0.30060332144356139
FOHNAS,0,Fe1,2,1.8157282989771062,N2A,1.99,1.5592734116325244,0.31219542829971575
FOHNAS,0,Fe1,2,1.8157282989771062,N2,1.99,1.5592734116325244,0.31219542829971575
FOHNAS,0,Fe1,2,1.8157282989771062,N1A,2.0,1.5592734116325244,0.30387071685497247
