refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
BODGAE01,0,Fe1,3,2.5830363485588994,N2,1.939,1.7041371134427503,0.53006027193858207
BODGAE01,0,Fe1,3,2.5830363485588994,N4,1.943,1.7041371134427503,0.52436075433376439
BODGAE01,0,Fe1,3,2.5830363485588994,N6,1.996,1.7041371134427503,0.45438127876864048
BODGAE01,0,Fe1,3,2.5830363485588994,N5,2.023,1.7041371134427503,0.42240463007858914
BODGAE01,0,Fe1,3,2.5830363485588994,N1,2.113,1.7041371134427503,0.3311993468536848
BODGAE01,0,Fe1,3,2.5830363485588994,N3,2.125,1.7041371134427503,0.32063006658563875
MODXOS,0,Fe1,3,2.63572420859398,N2B,2.008,1.7041371134427503,0.43988099931615543
MODXOS,0,Fe1,3,2.63572420859398,N2A,2.008,1.7041371134427503,0.43988099931615543
MODXOS,0,Fe1,3,2.63572420859398,N1B,2.008,1.7041371134427503,0.43988099931615543
MODXOS,0,Fe1,3,2.63572420859398,N1A,2.009,1.7041371134427503,0.43869373688183777
MODXOS,0,Fe1,3,2.63572420859398,N1,2.009,1.7041371134427503,0.43869373688183777
MODXOS,0,Fe1,3,2.63572420859398,N2,2.009,1.7041371134427503,0.43869373688183777
RIXTEX,0,Fe1,3,2.6539598209629958,N3A,1.998,1.7041371134427503,0.45193178995249039
RIXTEX,0,Fe1,3,2.6539598209629958,N3,1.998,1.7041371134427503,0.45193178995249039
RIXTEX,0,Fe1,3,2.6539598209629958,N2A,2.007,1.7041371134427503,0.44107147490801202
RIXTEX,0,Fe1,3,2.6539598209629958,N2,2.007,1.7041371134427503,0.44107147490801202
RIXTEX,0,Fe1,3,2.6539598209629958,N1A,2.013,1.7041371134427503,0.43397664562099536
RIXTEX,0,Fe1,3,2.6539598209629958,N1,2.013,1.7041371134427503,0.43397664562099536
GITHOI,0,Fe1,3,2.6628837340683327,N3,1.895,1.7041371134427503,0.59699553818530648
GITHOI,0,Fe1,3,2.6628837340683327,N6,1.898,1.7041371134427503,0.59217460455837834
GITHOI,0,Fe1,3,2.6628837340683327,N2,1.941,1.7041371134427503,0.52720281110410938
GITHOI,0,Fe1,3,2.6628837340683327,N4,1.954,1.7041371134427503,0.50900110128796394
GITHOI,0,Fe1,3,2.6628837340683327,N5,2.01,1.7041371134427503,0.43750967893257436
SUMXIH,0,Fe1,3,2.675749913645932,N4,1.874,1.7041371134427503,0.63185908113368972
SUMXIH,0,Fe1,3,2.675749913645932,N1,1.876,1.7041371134427503,0.62845284098925869
SUMXIH,0,Fe1,3,2.675749913645932,N2,1.91,1.7041371134427503,0.57327704505938015
SUMXIH,0,Fe1,3,2.675749913645932,N3,1.911,1.7041371134427503,0.57172973953558182
SUMXIH,0,Fe1,3,2.675749913645932,N5,2.188,1.7041371134427503,0.27043120692802169
RIQSUF,0,Fe1,3,2.6831127176371727,N5,1.731,1.7041371134427503,0.92997051643013429
RIQSUF,0,Fe1,3,2.6831127176371727,N3,1.998,1.7041371134427503,0.45193178995249039
RIQSUF,0,Fe1,3,2.6831127176371727,N2,2.0,1.7041371134427503,0.44949550589573695
RIQSUF,0,Fe1,3,2.6831127176371727,N4,2.017,1.7041371134427503,0.42931027528022181
RIQSUF,0,Fe1,3,2.6831127176371727,N1,2.023,1.7041371134427503,0.42240463007858914
FIZYEU,0,Fe1B,3,2.7107622469534474,N3,1.938,1.7041371134427503,0.53149480495304935
FIZYEU,0,Fe1,3,2.7107622469534474,N3B,1.938,1.7041371134427503,0.53149480495304935
FIZYEU,0,Fe1B,3,2.7107622469534474,N2B,1.954,1.7041371134427503,0.50900110128796394
FIZYEU,0,Fe1,3,2.7107622469534474,N2,1.954,1.7041371134427503,0.50900110128796394
FIZYEU,0,Fe1B,3,2.7107622469534474,N6B,1.965,1.7041371134427503,0.49409136547898447
FIZYEU,0,Fe1,3,2.7107622469534474,N6,1.965,1.7041371134427503,0.49409136547898447
FIZYEU,0,Fe1B,3,2.7107622469534474,N5B,2.002,1.7041371134427503,0.44707235541386631
FIZYEU,0,Fe1,3,2.7107622469534474,N5,2.002,1.7041371134427503,0.44707235541386631
FIZYEU,0,Fe1B,3,2.7107622469534474,N1B,2.077,1.7041371134427503,0.36504394651519889
FIZYEU,0,Fe1,3,2.7107622469534474,N1,2.077,1.7041371134427503,0.36504394651519889
FIZYEU,0,Fe1B,3,2.7107622469534474,N4,2.078,1.7041371134427503,0.36405867330438429
FIZYEU,0,Fe1,3,2.7107622469534474,N4B,2.078,1.7041371134427503,0.36405867330438429
IHEVEW,0,Fe1,3,2.7228412233841812,N5,1.958,1.7041371134427503,0.50352802418476528
IHEVEW,0,Fe1,3,2.7228412233841812,N3,1.971,1.7041371134427503,0.48614368785826872
IHEVEW,0,Fe1,3,2.7228412233841812,N7,2.003,1.7041371134427503,0.4458656831233373
IHEVEW,0,Fe1,3,2.7228412233841812,N1,2.005,1.7041371134427503,0.44346210037169914
IHEVEW,0,Fe1,3,2.7228412233841812,N2,2.016,1.7041371134427503,0.43047214270538647
IHEVEW,0,Fe1,3,2.7228412233841812,N4,2.031,1.7041371134427503,0.41336958514072425
RIQSUF01,0,Fe1,3,2.7350443487525844,N5,1.722,1.7041371134427503,0.95286878431883404
RIQSUF01,0,Fe1,3,2.7350443487525844,N2,1.988,1.7041371134427503,0.46431271886528325
RIQSUF01,0,Fe1,3,2.7350443487525844,N3,1.993,1.7041371134427503,0.45808042758285888
RIQSUF01,0,Fe1,3,2.7350443487525844,N1,2.016,1.7041371134427503,0.43047214270538647
RIQSUF01,0,Fe1,3,2.7350443487525844,N4,2.017,1.7041371134427503,0.42931027528022181
ZAWJIQ,0,Fe1,3,2.740488341016559,N3A,1.975,1.7041371134427503,0.48091638701324291
ZAWJIQ,0,Fe1,3,2.740488341016559,N3,1.975,1.7041371134427503,0.48091638701324291
ZAWJIQ,0,Fe1,3,2.740488341016559,N1A,2.003,1.7041371134427503,0.4458656831233373
ZAWJIQ,0,Fe1,3,2.740488341016559,N1,2.003,1.7041371134427503,0.4458656831233373
ZAWJIQ,0,Fe1,3,2.740488341016559,N2A,2.005,1.7041371134427503,0.44346210037169914
ZAWJIQ,0,Fe1,3,2.740488341016559,N2,2.005,1.7041371134427503,0.44346210037169914
XAKREG,0,Fe2,3,2.7514954348653071,N7A,1.987,1.7041371134427503,0.46556931544403291
XAKREG,0,Fe2,3,2.7514954348653071,N7,1.987,1.7041371134427503,0.46556931544403291
XAKREG,0,Fe2,3,2.7514954348653071,N6A,1.988,1.7041371134427503,0.46431271886528325
XAKREG,0,Fe2,3,2.7514954348653071,N6,1.988,1.7041371134427503,0.46431271886528325
XAKREG,0,Fe2,3,2.7514954348653071,N5A,2.003,1.7041371134427503,0.4458656831233373
XAKREG,0,Fe2,3,2.7514954348653071,N5,2.003,1.7041371134427503,0.4458656831233373
XELDOJ,0,Fe1,3,2.7552606032487983,N2,1.877,1.7041371134427503,0.62675661302986319
XELDOJ,0,Fe1,3,2.7552606032487983,N3,1.886,1.7041371134427503,0.61169510502125424
XELDOJ,0,Fe1,3,2.7552606032487983,N4,1.927,1.7041371134427503,0.54753322958330519
XELDOJ,0,Fe1,3,2.7552606032487983,N1,1.929,1.7041371134427503,0.54458157513581251
XELDOJ,0,Fe1,3,2.7552606032487983,N5,2.021,1.7041371134427503,0.424694080478563
XAKREG,0,Fe1,3,2.7601365790082277,N3A,1.975,1.7041371134427503,0.48091638701324291
XAKREG,0,Fe1,3,2.7601365790082277,N3,1.975,1.7041371134427503,0.48091638701324291
XAKREG,0,Fe1,3,2.7601365790082277,N1A,1.993,1.7041371134427503,0.45808042758285888
XAKREG,0,Fe1,3,2.7601365790082277,N1,1.993,1.7041371134427503,0.45808042758285888
XAKREG,0,Fe1,3,2.7601365790082277,N2A,2.007,1.7041371134427503,0.44107147490801202
XAKREG,0,Fe1,3,2.7601365790082277,N2,2.007,1.7041371134427503,0.44107147490801202
RIXTEX01,0,Fe1,3,2.769900538762244,N3A,1.973,1.7041371134427503,0.48352297353289464
RIXTEX01,0,Fe1,3,2.769900538762244,N3,1.973,1.7041371134427503,0.48352297353289464
RIXTEX01,0,Fe1,3,2.769900538762244,N2A,1.998,1.7041371134427503,0.45193178995249039
RIXTEX01,0,Fe1,3,2.769900538762244,N2,1.998,1.7041371134427503,0.45193178995249039
RIXTEX01,0,Fe1,3,2.769900538762244,N1A,2.0,1.7041371134427503,0.44949550589573695
RIXTEX01,0,Fe1,3,2.769900538762244,N1,2.0,1.7041371134427503,0.44949550589573695
KEHYIF,0,Fe1,3,2.7721512180298675,N3A,1.981,1.7041371134427503,0.47318063473431909
