refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
EBOTOG01,0,Fe1,2,1.470385223850216,N5,2.022,1.5644612931701443,0.2903723832543324
EBOTOG01,0,Fe1,2,1.470385223850216,N6,2.043,1.5644612931701443,0.27435075698214451
EBOTOG01,0,Fe1,2,1.470385223850216,N3,2.09,1.5644612931701443,0.24162341932576101
EBOTOG01,0,Fe1,2,1.470385223850216,N1,2.102,1.5644612931701443,0.23391269869047604
EBOTOG01,0,Fe1,2,1.470385223850216,N2,2.116,1.5644612931701443,0.22522730245325656
EBOTOG01,0,Fe1,2,1.470385223850216,N4,2.151,1.5644612931701443,0.20489866314424554
FEMQIX,0,Fe1,2,1.4795103877488658,N4,1.996,1.5644612931701443,0.31151093741951269
FEMQIX,0,Fe1,2,1.4795103877488658,N2,1.999,1.5644612931701443,0.30899538502874152
FEMQIX,0,Fe1,2,1.4795103877488658,N3,2.006,1.5644612931701443,0.30320447796870581
FEMQIX,0,Fe1,2,1.4795103877488658,N1,2.009,1.5644612931701443,0.30075600294640015
FEMQIX,0,Fe1,2,1.4795103877488658,N5,2.07,1.5644612931701443,0.25504358438550578
NIQFUP06,0,Fe1,2,1.4795751675634214,N5,2.008,1.5644612931701443,0.30156995645011742
NIQFUP06,0,Fe1,2,1.4795751675634214,N4,2.019,1.5644612931701443,0.29273632452433318
NIQFUP06,0,Fe1,2,1.4795751675634214,N1,2.023,1.5644612931701443,0.28958865260186667
NIQFUP06,0,Fe1,2,1.4795751675634214,N3,2.157,1.5644612931701443,0.20160277774052576
NIQFUP06,0,Fe1,2,1.4795751675634214,N2,2.161,1.5644612931701443,0.19943502693605614
NIQFUP06,0,Fe1,2,1.4795751675634214,N6,2.17,1.5644612931701443,0.19464242931052231
ARUTIR,0,Fe1,2,1.4833336886063462,N1,1.657,1.5644612931701443,0.77871931460469856
ARUTIR,0,Fe1,2,1.4833336886063462,N2,1.694,1.5644612931701443,0.70461437400164761
NASWEL,0,Fe1,2,1.4862724771098041,N2A,2.046,1.5644612931701443,0.27213528516483626
NASWEL,0,Fe1,2,1.4862724771098041,N2,2.046,1.5644612931701443,0.27213528516483626
NASWEL,0,Fe1,2,1.4862724771098041,N7A,2.098,1.5644612931701443,0.23645520312689347
NASWEL,0,Fe1,2,1.4862724771098041,N7,2.098,1.5644612931701443,0.23645520312689347
NASWEL,0,Fe1,2,1.4862724771098041,N8,2.101,1.5644612931701443,0.23454575026317237
NASWEL,0,Fe1,2,1.4862724771098041,N8A,2.101,1.5644612931701443,0.23454575026317237
LEWMOQ07,0,Fe1A,2,1.4869264694114241,N2A,2.02,1.5644612931701443,0.29194621346746041
LEWMOQ07,0,Fe1A,2,1.4869264694114241,N1A,2.025,1.5644612931701443,0.28802753158087202
LEWMOQ07,0,Fe1A,2,1.4869264694114241,N3A,2.076,1.5644612931701443,0.25094109579827278
LEWMOQ07,0,Fe1A,2,1.4869264694114241,N5A,2.117,1.5644612931701443,0.22461940187150567
LEWMOQ07,0,Fe1A,2,1.4869264694114241,N4A,2.131,1.5644612931701443,0.21627907439572913
LEWMOQ07,0,Fe1A,2,1.4869264694114241,N6A,2.133,1.5644612931701443,0.21511315229758426
LEWMOQ07,0,Fe1,2,1.4869264694114244,N2,2.02,1.5644612931701443,0.29194621346746041
LEWMOQ07,0,Fe1,2,1.4869264694114244,N1,2.025,1.5644612931701443,0.28802753158087202
LEWMOQ07,0,Fe1,2,1.4869264694114244,N3,2.076,1.5644612931701443,0.25094109579827278
LEWMOQ07,0,Fe1,2,1.4869264694114244,N5,2.117,1.5644612931701443,0.22461940187150567
LEWMOQ07,0,Fe1,2,1.4869264694114244,N4,2.131,1.5644612931701443,0.21627907439572913
LEWMOQ07,0,Fe1,2,1.4869264694114244,N6,2.133,1.5644612931701443,0.21511315229758426
TIPMAI,0,Fe2,2,1.4894550963243529,N6B,1.926,1.5644612931701443,0.37638917157576057
TIPMAI,0,Fe2,2,1.4894550963243529,N6,1.926,1.5644612931701443,0.37638917157576057
TIPMAI,0,Fe2,2,1.4894550963243529,N8,1.934,1.5644612931701443,0.36833837658641577
TIPMAI,0,Fe2,2,1.4894550963243529,N8B,1.934,1.5644612931701443,0.36833837658641577
OFONON,0,Fe3,2,1.4910083185246044,N11,2.071,1.5644612931701443,0.2543552080579865
OFONON,0,Fe3,2,1.4910083185246044,N11B,2.071,1.5644612931701443,0.2543552080579865
OFONON,0,Fe3,2,1.4910083185246044,N12,2.083,1.5644612931701443,0.24623818878502979
OFONON,0,Fe3,2,1.4910083185246044,N12B,2.083,1.5644612931701443,0.24623818878502979
OFONON,0,Fe3,2,1.4910083185246044,N13,2.085,1.5644612931701443,0.24491076241928589
OFONON,0,Fe3,2,1.4910083185246044,N13B,2.085,1.5644612931701443,0.24491076241928589
TIPMAI,0,Fe1,2,1.4934479145065043,N3B,1.926,1.5644612931701443,0.37638917157576057
TIPMAI,0,Fe1,2,1.4934479145065043,N3,1.926,1.5644612931701443,0.37638917157576057
TIPMAI,0,Fe1,2,1.4934479145065043,N1B,1.932,1.5644612931701443,0.37033478567749156
TIPMAI,0,Fe1,2,1.4934479145065043,N1,1.932,1.5644612931701443,0.37033478567749156
DOJKET,0,Fe3,2,1.4972152567549262,N13B,2.059,1.5644612931701443,0.26273979753279797
DOJKET,0,Fe3,2,1.4972152567549262,N13,2.059,1.5644612931701443,0.26273979753279797
