refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
XUGLOB,0,Fe4,2,1.2008772712723457,O6A,2.293,1.7169708424099628,0.21080208719610422
XUGLOB,0,Fe4,2,1.2008772712723457,O6,2.293,1.7169708424099628,0.21080208719610422
XUGLOB,0,Fe4,2,1.2008772712723457,O2,2.307,1.7169708424099628,0.20297480947590768
XUGLOB,0,Fe4,2,1.2008772712723457,O2A,2.307,1.7169708424099628,0.20297480947590768
XUGLOB,0,Fe4,2,1.2008772712723457,O4A,2.338,1.7169708424099628,0.18666173896416094
XUGLOB,0,Fe4,2,1.2008772712723457,O4,2.338,1.7169708424099628,0.18666173896416094
EHAXUG01,0,Fe1,2,1.3414499681744143,O2,2.076,1.7169708424099628,0.37895073294928816
EHAXUG01,0,Fe1,2,1.3414499681744143,O1B,2.101,1.7169708424099628,0.35419182214705874
EHAXUG01,0,Fe1,2,1.3414499681744143,O1,2.106,1.7169708424099628,0.3494376413637546
EHAXUG01,0,Fe1,2,1.3414499681744143,O3A,2.217,1.7169708424099628,0.25886977171431275
YIHLIL,0,Fe1,2,1.5812495422464381,O3,2.092,1.7169708424099628,0.36291293650952583
YIHLIL,0,Fe1,2,1.5812495422464381,O4C,2.122,1.7169708424099628,0.33464888579923502
YIHLIL,0,Fe1,2,1.5812495422464381,O2C,2.145,1.7169708424099628,0.31447975999347699
YIHLIL,0,Fe1,2,1.5812495422464381,O1,2.175,1.7169708424099628,0.28998773728052413
YIHLIL,0,Fe1,2,1.5812495422464381,O5,2.189,1.7169708424099628,0.27922022266367608
EHAXUG,0,Fe1,2,1.6469026879988937,O2,2.077,1.7169708424099628,0.37792792457523416
EHAXUG,0,Fe1,2,1.6469026879988937,O1*,2.079,1.7169708424099628,0.37589058222022637
EHAXUG,0,Fe1,2,1.6469026879988937,O1,2.102,1.7169708424099628,0.35323583940256309
EHAXUG,0,Fe1,2,1.6469026879988937,O1B,2.108,1.7169708424099628,0.34755388506820023
EHAXUG,0,Fe1,2,1.6469026879988937,O3A,2.327,1.7169708424099628,0.1922944567326699
SUMKUH,0,Fe2,2,1.6630614609708849,O1B,2.165,1.7169708424099628,0.29793211658880242
SUMKUH,0,Fe2,2,1.6630614609708849,O1,2.165,1.7169708424099628,0.29793211658880242
SUMKUH,0,Fe2,2,1.6630614609708849,O4B,2.195,1.7169708424099628,0.27472884218232729
SUMKUH,0,Fe2,2,1.6630614609708849,O4,2.195,1.7169708424099628,0.27472884218232729
SUMKUH,0,Fe2,2,1.6630614609708849,O2B,2.217,1.7169708424099628,0.25886977171431275
SUMKUH,0,Fe2,2,1.6630614609708849,O2,2.217,1.7169708424099628,0.25886977171431275
GOGKAP,0,Fe1,2,1.6819866935850523,O3A,2.166,1.7169708424099628,0.29712798181018607
GOGKAP,0,Fe1,2,1.6819866935850523,O3C,2.166,1.7169708424099628,0.29712798181018607
GOGKAP,0,Fe1,2,1.6819866935850523,O2B,2.17,1.7169708424099628,0.29393308822380665
GOGKAP,0,Fe1,2,1.6819866935850523,O2,2.17,1.7169708424099628,0.29393308822380665
GOGKAP,0,Fe1,2,1.6819866935850523,O4B,2.23,1.7169708424099628,0.24993227675853336
GOGKAP,0,Fe1,2,1.6819866935850523,O4,2.23,1.7169708424099628,0.24993227675853336
XACPIA,0,Fe2,2,1.7036078038705145,O1B,2.062,1.7169708424099628,0.39356413565046566
XACPIA,0,Fe2,2,1.7036078038705145,O6A,2.109,1.7169708424099628,0.34661581847227058
XACPIA,0,Fe2,2,1.7036078038705145,O2,2.109,1.7169708424099628,0.34661581847227058
XACPIA,0,Fe2,2,1.7036078038705145,O3,2.138,1.7169708424099628,0.32048601384099651
XACPIA,0,Fe2,2,1.7036078038705145,O7B,2.167,1.7169708424099628,0.29632601743451109
OFISEB,0,Fe1,2,1.7119389394537987,O11K,2.181,1.7169708424099628,0.28532315657563312
OFISEB,0,Fe1,2,1.7119389394537987,O11J,2.181,1.7169708424099628,0.28532315657563312
OFISEB,0,Fe1,2,1.7119389394537987,O11I,2.181,1.7169708424099628,0.28532315657563312
OFISEB,0,Fe1,2,1.7119389394537987,O11,2.181,1.7169708424099628,0.28532315657563312
OFISEB,0,Fe1,2,1.7119389394537987,O11B,2.181,1.7169708424099628,0.28532315657563312
OFISEB,0,Fe1,2,1.7119389394537987,O11A,2.181,1.7169708424099628,0.28532315657563312
BEQYUS,0,Fe10,2,1.7140254241356656,O28,2.258,1.7169708424099628,0.23171642372927889
BEQYUS,0,Fe10,2,1.7140254241356656,O26,2.268,1.7169708424099628,0.22553769018708816
BEQYUS,0,Fe10,2,1.7140254241356656,O29,2.28,1.7169708424099628,0.21834029960875412
BEQYUS,0,Fe10,2,1.7140254241356656,O31,2.289,1.7169708424099628,0.21309339179351455
BEQYUS,0,Fe10,2,1.7140254241356656,O30,2.289,1.7169708424099628,0.21309339179351455
BEQYUS,0,Fe10,2,1.7140254241356656,O27,2.301,1.7169708424099628,0.20629312542061859
BEQYUS,0,Fe10,2,1.7140254241356656,O25,2.306,1.7169708424099628,0.20352413203546008
BEQYUS,0,Fe10,2,1.7140254241356656,O32,2.308,1.7169708424099628,0.20242696956743661
PAGQEV,0,Fe1,2,1.7143225268620679,O1,1.773,1.7169708424099628,0.85947790985363715
PAGQEV,0,Fe1,2,1.7143225268620679,O2,1.775,1.7169708424099628,0.85484461700843062
PANWUY,0,Fe1,2,1.7224328097900445,O8,2.246,1.7169708424099628,0.23935474614608801
PANWUY,0,Fe1,2,1.7224328097900445,O4,2.261,1.7169708424099628,0.22984523805431772
PANWUY,0,Fe1,2,1.7224328097900445,O5,2.272,1.7169708424099628,0.22311257722574521
PANWUY,0,Fe1,2,1.7224328097900445,O3,2.278,1.7169708424099628,0.21952371297753412
PANWUY,0,Fe1,2,1.7224328097900445,O1,2.281,1.7169708424099628,0.21775098741744273
PANWUY,0,Fe1,2,1.7224328097900445,O7,2.305,1.7169708424099628,0.20407494125867881
PANWUY,0,Fe1,2,1.7224328097900445,O2,2.322,1.7169708424099628,0.19491066776067051
PANWUY,0,Fe1,2,1.7224328097900445,O6,2.324,1.7169708424099628,0.19385993894956746
HIYTOZ,0,Fe10,2,1.7405373546596798,O31,2.243,1.7169708424099628,0.24130334937151873
HIYTOZ,0,Fe10,2,1.7405373546596798,O33,2.266,1.7169708424099628,0.22676011370766322
HIYTOZ,0,Fe10,2,1.7405373546596798,O28,2.268,1.7169708424099628,0.22553769018708816
HIYTOZ,0,Fe10,2,1.7405373546596798,O29,2.284,1.7169708424099628,0.2159925771942634
HIYTOZ,0,Fe10,2,1.7405373546596798,O30,2.288,1.7169708424099628,0.21367009886226859
HIYTOZ,0,Fe10,2,1.7405373546596798,O34,2.296,1.7169708424099628,0.20909979160796735
HIYTOZ,0,Fe10,2,1.7405373546596798,O27,2.301,1.7169708424099628,0.20629312542061859
HIYTOZ,0,Fe10,2,1.7405373546596798,O32,2.309,1.7169708424099628,0.20188060830829171
BEQYUS,0,Fe1,2,1.7459761428528682,O3,2.258,1.7169708424099628,0.23171642372927889
BEQYUS,0,Fe1,2,1.7459761428528682,O1,2.258,1.7169708424099628,0.23171642372927889
BEQYUS,0,Fe1,2,1.7459761428528682,O8,2.263,1.7169708424099628,0.2286061831760334
BEQYUS,0,Fe1,2,1.7459761428528682,O6,2.271,1.7169708424099628,0.22371639980011507
BEQYUS,0,Fe1,2,1.7459761428528682,O7,2.279,1.7169708424099628,0.21893120669000329
BEQYUS,0,Fe1,2,1.7459761428528682,O2,2.296,1.7169708424099628,0.20909979160796735
BEQYUS,0,Fe1,2,1.7459761428528682,O5,2.304,1.7169708424099628,0.20462724116900868
BEQYUS,0,Fe1,2,1.7459761428528682,O4,2.317,1.7169708424099628,0.19756247295118273
QAXLAD,0,Fe1,2,1.7522597603318193,O16B,2.114,1.7169708424099628,0.34196332747634384
QAXLAD,0,Fe1,2,1.7522597603318193,O16,2.114,1.7169708424099628,0.34196332747634384
QAXLAD,0,Fe1,2,1.7522597603318193,O6B,2.199,1.7169708424099628,0.27177479722656656
QAXLAD,0,Fe1,2,1.7522597603318193,O6,2.199,1.7169708424099628,0.27177479722656656
QAXLAD,0,Fe1,2,1.7522597603318193,O1B,2.212,1.7169708424099628,0.26239175546299937
QAXLAD,0,Fe1,2,1.7522597603318193,O1,2.212,1.7169708424099628,0.26239175546299937
HIYTOZ,0,Fe1,2,1.7528062535450823,O4,2.245,1.7169708424099628,0.24000252584906434
HIYTOZ,0,Fe1,2,1.7528062535450823,O7,2.263,1.7169708424099628,0.2286061831760334
HIYTOZ,0,Fe1,2,1.7528062535450823,O2,2.269,1.7169708424099628,0.22492895185217865
HIYTOZ,0,Fe1,2,1.7528062535450823,O5,2.273,1.7169708424099628,0.2225103844009225
HIYTOZ,0,Fe1,2,1.7528062535450823,O6,2.285,1.7169708424099628,0.21540960163179768
HIYTOZ,0,Fe1,2,1.7528062535450823,O3,2.291,1.7169708424099628,0.21194464314478464
HIYTOZ,0,Fe1,2,1.7528062535450823,O1,2.294,1.7169708424099628,0.21023312104482064
HIYTOZ,0,Fe1,2,1.7528062535450823,O8,2.314,1.7169708424099628,0.19917084244548044
AJOCEH,0,Fe1,2,1.7536287182669574,O23,2.127,1.7169708424099628,0.33015702234406946
AJOCEH,0,Fe1,2,1.7536287182669574,O23A,2.127,1.7169708424099628,0.33015702234406946
AJOCEH,0,Fe1,2,1.7536287182669574,O17,2.188,1.7169708424099628,0.27997589262975925
AJOCEH,0,Fe1,2,1.7536287182669574,O17A,2.188,1.7169708424099628,0.27997589262975925
AJOCEH,0,Fe1,2,1.7536287182669574,O30,2.206,1.7169708424099628,0.26668144415965001
AJOCEH,0,Fe1,2,1.7536287182669574,O30A,2.206,1.7169708424099628,0.26668144415965001
ICAHUP,0,Fe2,2,1.7588384822247289,O2U,2.171,1.7169708424099628,0.29313974703745482
ICAHUP,0,Fe2,2,1.7588384822247289,O2S,2.171,1.7169708424099628,0.29313974703745482
ICAHUP,0,Fe2,2,1.7588384822247289,O2L,2.171,1.7169708424099628,0.29313974703745482
ICAHUP,0,Fe2,2,1.7588384822247289,O2I,2.171,1.7169708424099628,0.29313974703745482
ICAHUP,0,Fe2,2,1.7588384822247289,O2G,2.171,1.7169708424099628,0.29313974703745482
ICAHUP,0,Fe2,2,1.7588384822247289,O2,2.171,1.7169708424099628,0.29313974703745482
KABTEM,0,Fe1,2,1.7633472240015555,O4,2.005,1.7169708424099628,0.45911379389021689
KABTEM,0,Fe1,2,1.7633472240015555,O1C,2.045,1.7169708424099628,0.41206866092630523
KABTEM,0,Fe1,2,1.7633472240015555,O3,2.053,1.7169708424099628,0.40325469771699507
KABTEM,0,Fe1,2,1.7633472240015555,O2C,2.192,1.7169708424099628,0.27696542832325344
KABTEM,0,Fe1,2,1.7633472240015555,O5,2.291,1.7169708424099628,0.21194464314478464
XACPEW,0,Fe2,2,1.7717088087144459,O7*,1.971,1.7169708424099628,0.50330179900675687
XACPEW,0,Fe2,2,1.7717088087144459,O8,2.117,1.7169708424099628,0.33920186210657188
XACPEW,0,Fe2,2,1.7717088087144459,O4,2.123,1.7169708424099628,0.33374565048919991
XACPEW,0,Fe2,2,1.7717088087144459,O9,2.131,1.7169708424099628,0.32660698122455273
XACPEW,0,Fe2,2,1.7717088087144459,O3,2.203,1.7169708424099628,0.26885251588736436
SESGED,0,Fe1,2,1.7914027679323079,O2B,2.088,1.7169708424099628,0.36685760371346299
SESGED,0,Fe1,2,1.7914027679323079,O2,2.088,1.7169708424099628,0.36685760371346299
SESGED,0,Fe1,2,1.7914027679323079,O4B,2.11,1.7169708424099628,0.34568028376844806
SESGED,0,Fe1,2,1.7914027679323079,O4,2.11,1.7169708424099628,0.34568028376844806
SESGED,0,Fe1,2,1.7914027679323079,O1B,2.345,1.7169708424099628,0.18316349648424293
SESGED,0,Fe1,2,1.7914027679323079,O1,2.345,1.7169708424099628,0.18316349648424293
EKULEB,0,Fe1,2,1.8031309205878725,O19B,2.145,1.7169708424099628,0.31447975999347699
EKULEB,0,Fe1,2,1.8031309205878725,O19,2.145,1.7169708424099628,0.31447975999347699
EKULEB,0,Fe1,2,1.8031309205878725,O1B,2.168,1.7169708424099628,0.29552621760374315
EKULEB,0,Fe1,2,1.8031309205878725,O1,2.168,1.7169708424099628,0.29552621760374315
EKULEB,0,Fe1,2,1.8031309205878725,O12,2.173,1.7169708424099628,0.291559482696716
EKULEB,0,Fe1,2,1.8031309205878725,O12B,2.173,1.7169708424099628,0.291559482696716
ENESIA,0,Fe1,2,1.8167085370035445,O2D,2.009,1.7169708424099628,0.45417713425088613
ENESIA,0,Fe1,2,1.8167085370035445,O2E,2.009,1.7169708424099628,0.45417713425088613
ENESIA,0,Fe1,2,1.8167085370035445,O2,2.009,1.7169708424099628,0.45417713425088613
ENESIA,0,Fe1,2,1.8167085370035445,O2A,2.009,1.7169708424099628,0.45417713425088613
BUHRIG,0,Fe2,2,1.8225298400181742,O5,1.986,1.7169708424099628,0.48330573622830647
BUHRIG,0,Fe2,2,1.8225298400181742,O5A,1.986,1.7169708424099628,0.48330573622830647
BUHRIG,0,Fe2,2,1.8225298400181742,O4A,2.031,1.7169708424099628,0.42795918378078063
BUHRIG,0,Fe2,2,1.8225298400181742,O4,2.031,1.7169708424099628,0.42795918378078063
JIPMOL,0,Fe2,2,1.823441767251756,O4B,1.95,1.7169708424099628,0.53269378397704359
JIPMOL,0,Fe2,2,1.823441767251756,O4,1.95,1.7169708424099628,0.53269378397704359
JIPMOL,0,Fe2,2,1.823441767251756,O3,2.15,1.7169708424099628,0.31025861896702406
JIPMOL,0,Fe2,2,1.823441767251756,O3B,2.15,1.7169708424099628,0.31025861896702406
JIPMOL,0,Fe2,2,1.823441767251756,O2,2.451,1.7169708424099628,0.13753696136362076
ECOSUL01,0,Fe2,2,1.8260716558509591,O1B,2.023,1.7169708424099628,0.43731311449078919
ECOSUL01,0,Fe2,2,1.8260716558509591,O1,2.023,1.7169708424099628,0.43731311449078919
ECOSUL01,0,Fe2,2,1.8260716558509591,O8,2.194,1.7169708424099628,0.27547235686358323
ECOSUL01,0,Fe2,2,1.8260716558509591,O8B,2.194,1.7169708424099628,0.27547235686358323
ECOSUL01,0,Fe2,2,1.8260716558509591,O9B,2.312,1.7169708424099628,0.2002503565711071
ECOSUL01,0,Fe2,2,1.8260716558509591,O9*,2.312,1.7169708424099628,0.2002503565711071
IRURES,0,Fe1,2,1.8279828015789812,O1B,2.118,1.7169708424099628,0.33828633806903491
IRURES,0,Fe1,2,1.8279828015789812,O1A,2.118,1.7169708424099628,0.33828633806903491
IRURES,0,Fe1,2,1.8279828015789812,O1,2.118,1.7169708424099628,0.33828633806903491
IRURES,0,Fe1,2,1.8279828015789812,O4H,2.2,1.7169708424099628,0.27104126245729221
